r,phi,phi',Phi,s
3.6,-0.876506,-0.437155,-0.243474,0
3.62,-0.885259,-0.438132,-0.244547,0
3.64,-0.894032,-0.439095,-0.245613,0
3.66,-0.902823,-0.440043,-0.246673,0
3.68,-0.911633,-0.440978,-0.247726,0
3.7,-0.920462,-0.4419,-0.248774,0
3.72,-0.929309,-0.442808,-0.249814,0
3.74,-0.938174,-0.443703,-0.250849,0
3.76,-0.947057,-0.444585,-0.251877,0
3.78,-0.955958,-0.445454,-0.252899,0
3.8,-0.964875,-0.44631,-0.253915,0
3.82,-0.97381,-0.447154,-0.254924,0
3.84,-0.982761,-0.447985,-0.255927,0
3.86,-0.991729,-0.448805,-0.256925,0
3.88,-1.00071,-0.449612,-0.257916,0
3.9,-1.00971,-0.450407,-0.258901,0
3.92,-1.01873,-0.451191,-0.25988,0
3.94,-1.02776,-0.451963,-0.260853,0
3.96,-1.03681,-0.452723,-0.26182,0
3.98,-1.04587,-0.453473,-0.262781,0
4,-1.05495,-0.454211,-0.263737,0
4.02,-1.06404,-0.454938,-0.264686,0
4.04,-1.07314,-0.455654,-0.26563,0
4.06,-1.08226,-0.45636,-0.266568,0
4.08,-1.0914,-0.457055,-0.2675,0
4.1,-1.10055,-0.45774,-0.268426,0
4.12,-1.10971,-0.458414,-0.269347,0
4.14,-1.11888,-0.459078,-0.270262,0
4.16,-1.12807,-0.459733,-0.271171,0
4.18,-1.13727,-0.460377,-0.272075,0
4.2,-1.14649,-0.461012,-0.272973,0
4.22,-1.15571,-0.461637,-0.273866,0
4.24,-1.16495,-0.462252,-0.274753,0
4.26,-1.1742,-0.462858,-0.275634,0
4.28,-1.18347,-0.463455,-0.276511,0
4.3,-1.19274,-0.464043,-0.277382,0
4.32,-1.20203,-0.464622,-0.278247,0
4.34,-1.21133,-0.465192,-0.279107,0
4.36,-1.22064,-0.465754,-0.279962,0
4.38,-1.22996,-0.466307,-0.280812,0
4.4,-1.23929,-0.466851,-0.281656,0
4.42,-1.24863,-0.467387,-0.282495,0
4.44,-1.25798,-0.467915,-0.283329,0
4.46,-1.26735,-0.468435,-0.284158,0
4.48,-1.27672,-0.468946,-0.284982,0
4.5,-1.2861,-0.46945,-0.285801,0
4.52,-1.2955,-0.469946,-0.286615,0
4.54,-1.3049,-0.470435,-0.287423,0
4.56,-1.31432,-0.470915,-0.288227,0
4.58,-1.32374,-0.471389,-0.289026,0
4.6,-1.33317,-0.471855,-0.28982,0
4.62,-1.34261,-0.472314,-0.290609,0
4.64,-1.35206,-0.472765,-0.291393,0
4.66,-1.36152,-0.47321,-0.292172,0
4.68,-1.37099,-0.473648,-0.292947,0
4.7,-1.38047,-0.474078,-0.293717,0
4.72,-1.38995,-0.474503,-0.294482,0
4.74,-1.39945,-0.47492,-0.295242,0
4.76,-1.40895,-0.475331,-0.295998,0
4.78,-1.41846,-0.475736,-0.296749,0
4.8,-1.42798,-0.476134,-0.297496,0
4.82,-1.43751,-0.476526,-0.298238,0
4.84,-1.44704,-0.476911,-0.298976,0
4.86,-1.45658,-0.477291,-0.299709,0
4.88,-1.46613,-0.477665,-0.300437,0
4.9,-1.47569,-0.478033,-0.301161,0
4.92,-1.48525,-0.478395,-0.301881,0
4.94,-1.49483,-0.478751,-0.302596,0
4.96,-1.5044,-0.479101,-0.303307,0
4.98,-1.51399,-0.479447,-0.304014,0
5,-1.52358,-0.479786,-0.304717,0
5.02,-1.53318,-0.48012,-0.305415,0
5.04,-1.54279,-0.480449,-0.306109,0
5.06,-1.5524,-0.480773,-0.306798,0
5.08,-1.56202,-0.481091,-0.307484,0
5.1,-1.57164,-0.481405,-0.308165,0
5.12,-1.58127,-0.481713,-0.308843,0
5.14,-1.59091,-0.482017,-0.309516,0
5.16,-1.60056,-0.482316,-0.310185,0
5.18,-1.6102,-0.482609,-0.31085,0
5.2,-1.61986,-0.482899,-0.311511,0
5.22,-1.62952,-0.483183,-0.312169,0
5.24,-1.63919,-0.483463,-0.312822,0
5.26,-1.64886,-0.483739,-0.313471,0
5.28,-1.65854,-0.48401,-0.314117,0
5.3,-1.66822,-0.484276,-0.314758,0
5.32,-1.67791,-0.484539,-0.315396,0
5.34,-1.6876,-0.484797,-0.31603,0
5.36,-1.6973,-0.485051,-0.31666,0
5.38,-1.707,-0.485301,-0.317287,0
5.4,-1.71671,-0.485547,-0.31791,0
5.42,-1.72642,-0.485789,-0.318529,0
5.44,-1.73614,-0.486027,-0.319144,0
5.46,-1.74587,-0.486261,-0.319756,0
5.48,-1.75559,-0.486491,-0.320364,0
5.5,-1.76533,-0.486718,-0.320968,0
5.52,-1.77506,-0.486941,-0.321569,0
5.54,-1.7848,-0.48716,-0.322167,0
5.56,-1.79455,-0.487376,-0.32276,0
5.58,-1.8043,-0.487588,-0.323351,0
5.6,-1.81405,-0.487797,-0.323938,0
5.62,-1.82381,-0.488002,-0.324521,0
5.64,-1.83357,-0.488204,-0.325101,0
5.66,-1.84334,-0.488403,-0.325678,0
5.68,-1.85311,-0.488599,-0.326251,0
5.7,-1.86288,-0.488791,-0.326821,0
5.72,-1.87266,-0.48898,-0.327388,0
5.74,-1.88244,-0.489166,-0.327951,0
5.76,-1.89223,-0.489349,-0.328512,0
5.78,-1.90202,-0.489529,-0.329068,0
5.8,-1.91181,-0.489706,-0.329622,0
5.82,-1.9216,-0.48988,-0.330172,0
5.84,-1.9314,-0.490052,-0.33072,0
5.86,-1.94121,-0.49022,-0.331264,0
5.88,-1.95101,-0.490386,-0.331805,0
5.9,-1.96082,-0.490549,-0.332343,0
5.92,-1.97063,-0.490709,-0.332877,0
5.94,-1.98045,-0.490867,-0.333409,0
5.96,-1.99027,-0.491022,-0.333938,0
5.98,-2.00009,-0.491174,-0.334463,0
6,-2.00992,-0.491324,-0.334986,0
6.02,-2.01974,-0.491472,-0.335505,0
6.04,-2.02957,-0.491617,-0.336022,0
6.06,-2.03941,-0.49176,-0.336536,0
6.08,-2.04924,-0.4919,-0.337047,0
6.1,-2.05908,-0.492038,-0.337555,0
6.12,-2.06893,-0.492173,-0.33806,0
6.14,-2.07877,-0.492307,-0.338562,0
6.16,-2.08862,-0.492438,-0.339061,0
6.18,-2.09847,-0.492567,-0.339558,0
6.2,-2.10832,-0.492694,-0.340052,0
6.22,-2.11818,-0.492819,-0.340543,0
6.24,-2.12803,-0.492942,-0.341031,0
6.26,-2.13789,-0.493062,-0.341517,0
6.28,-2.14776,-0.493181,-0.341999,0
6.3,-2.15762,-0.493297,-0.342479,0
6.32,-2.16749,-0.493412,-0.342957,0
6.34,-2.17736,-0.493525,-0.343432,0
6.36,-2.18723,-0.493636,-0.343904,0
6.38,-2.1971,-0.493745,-0.344373,0
6.4,-2.20698,-0.493852,-0.34484,0
6.42,-2.21686,-0.493958,-0.345305,0
6.44,-2.22674,-0.494061,-0.345767,0
6.46,-2.23662,-0.494163,-0.346226,0
6.48,-2.2465,-0.494264,-0.346683,0
6.5,-2.25639,-0.494362,-0.347137,0
6.52,-2.26628,-0.494459,-0.347589,0
6.54,-2.27617,-0.494554,-0.348038,0
6.56,-2.28606,-0.494648,-0.348485,0
6.58,-2.29595,-0.49474,-0.348929,0
