r,phi,Phi,exact,Exact,s
3.56,0.92094,0.258691,0.92094,0.258691,0.5
3.58,0.922227,0.257605,0.922227,0.257605,0.5
3.6,0.923494,0.256526,0.923494,0.256526,0.5
3.62,0.924741,0.255453,0.924741,0.255453,0.5
3.64,0.925968,0.254387,0.925968,0.254387,0.5
3.66,0.927177,0.253327,0.927177,0.253327,0.5
3.68,0.928367,0.252274,0.928367,0.252274,0.5
3.7,0.929538,0.251226,0.929538,0.251226,0.5
3.72,0.930691,0.250186,0.930691,0.250186,0.5
3.74,0.931826,0.249151,0.931826,0.249151,0.5
3.76,0.932943,0.248123,0.932943,0.248123,0.5
3.78,0.934042,0.247101,0.934042,0.247101,0.5
3.8,0.935125,0.246085,0.935125,0.246085,0.5
3.82,0.93619,0.245076,0.93619,0.245076,0.5
3.84,0.937239,0.244073,0.937239,0.244073,0.5
3.86,0.938271,0.243075,0.938271,0.243075,0.5
3.88,0.939287,0.242084,0.939287,0.242084,0.5
3.9,0.940286,0.241099,0.940286,0.241099,0.5
3.92,0.94127,0.24012,0.94127,0.24012,0.5
3.94,0.942239,0.239147,0.942239,0.239147,0.5
3.96,0.943192,0.23818,0.943192,0.23818,0.5
3.98,0.94413,0.237219,0.94413,0.237219,0.5
4,0.945053,0.236263,0.945053,0.236263,0.5
4.02,0.945962,0.235314,0.945962,0.235314,0.5
4.04,0.946856,0.23437,0.946856,0.23437,0.5
4.06,0.947735,0.233432,0.947735,0.233432,0.5
4.08,0.948601,0.2325,0.948601,0.2325,0.5
4.1,0.949453,0.231574,0.949453,0.231574,0.5
4.12,0.950292,0.230653,0.950292,0.230653,0.5
4.14,0.951117,0.229738,0.951117,0.229738,0.5
4.16,0.951929,0.228829,0.951929,0.228829,0.5
4.18,0.952728,0.227925,0.952728,0.227925,0.5
4.2,0.953514,0.227027,0.953514,0.227027,0.5
4.22,0.954287,0.226134,0.954287,0.226134,0.5
4.24,0.955048,0.225247,0.955048,0.225247,0.5
4.26,0.955797,0.224366,0.955797,0.224366,0.5
4.28,0.956534,0.223489,0.956534,0.223489,0.5
4.3,0.957259,0.222618,0.957259,0.222618,0.5
4.32,0.957972,0.221753,0.957972,0.221753,0.5
4.34,0.958674,0.220893,0.958674,0.220893,0.5
4.36,0.959365,0.220038,0.959365,0.220038,0.5
4.38,0.960044,0.219188,0.960044,0.219188,0.5
4.4,0.960713,0.218344,0.960713,0.218344,0.5
4.42,0.96137,0.217505,0.96137,0.217505,0.5
4.44,0.962017,0.216671,0.962017,0.216671,0.5
4.46,0.962654,0.215842,0.962654,0.215842,0.5
4.48,0.96328,0.215018,0.96328,0.215018,0.5
4.5,0.963896,0.214199,0.963896,0.214199,0.5
4.52,0.964502,0.213385,0.964502,0.213385,0.5
4.54,0.965098,0.212577,0.965098,0.212577,0.5
4.56,0.965684,0.211773,0.965684,0.211773,0.5
4.58,0.966261,0.210974,0.966261,0.210974,0.5
4.6,0.966829,0.21018,0.966829,0.21018,0.5
4.62,0.967387,0.209391,0.967387,0.209391,0.5
4.64,0.967936,0.208607,0.967936,0.208607,0.5
4.66,0.968477,0.207828,0.968477,0.207828,0.5
4.68,0.969008,0.207053,0.969008,0.207053,0.5
4.7,0.969531,0.206283,0.969531,0.206283,0.5
4.72,0.970045,0.205518,0.970045,0.205518,0.5
4.74,0.970551,0.204758,0.970551,0.204758,0.5
4.76,0.971048,0.204002,0.971048,0.204002,0.5
4.78,0.971538,0.203251,0.971538,0.203251,0.5
4.8,0.972019,0.202504,0.972019,0.202504,0.5
4.82,0.972492,0.201762,0.972492,0.201762,0.5
4.84,0.972958,0.201024,0.972958,0.201024,0.5
4.86,0.973416,0.200291,0.973416,0.200291,0.5
4.88,0.973866,0.199563,0.973866,0.199563,0.5
4.9,0.974309,0.198839,0.974309,0.198839,0.5
4.92,0.974745,0.198119,0.974745,0.198119,0.5
4.94,0.975174,0.197404,0.975174,0.197404,0.5
4.96,0.975595,0.196693,0.975595,0.196693,0.5
4.98,0.97601,0.195986,0.97601,0.195986,0.5
5,0.976417,0.195283,0.976417,0.195283,0.5
5.02,0.976818,0.194585,0.976818,0.194585,0.5
5.04,0.977212,0.193891,0.977212,0.193891,0.5
5.06,0.9776,0.193202,0.9776,0.193202,0.5
5.08,0.977982,0.192516,0.977982,0.192516,0.5
5.1,0.978357,0.191835,0.978357,0.191835,0.5
5.12,0.978725,0.191157,0.978725,0.191157,0.5
5.14,0.979088,0.190484,0.979088,0.190484,0.5
5.16,0.979445,0.189815,0.979445,0.189815,0.5
5.18,0.979795,0.18915,0.979795,0.18915,0.5
5.2,0.98014,0.188489,0.98014,0.188489,0.5
5.22,0.98048,0.187831,0.98048,0.187831,0.5
5.24,0.980813,0.187178,0.980813,0.187178,0.5
5.26,0.981141,0.186529,0.981141,0.186529,0.5
5.28,0.981464,0.185883,0.981464,0.185883,0.5
5.3,0.981781,0.185242,0.981781,0.185242,0.5
5.32,0.982093,0.184604,0.982093,0.184604,0.5
5.34,0.982399,0.18397,0.982399,0.18397,0.5
5.36,0.982701,0.18334,0.982701,0.18334,0.5
5.38,0.982997,0.182713,0.982997,0.182713,0.5
5.4,0.983289,0.18209,0.983289,0.18209,0.5
5.42,0.983575,0.181471,0.983575,0.181471,0.5
5.44,0.983857,0.180856,0.983857,0.180856,0.5
5.46,0.984134,0.180244,0.984134,0.180244,0.5
5.48,0.984407,0.179636,0.984407,0.179636,0.5
5.5,0.984675,0.179032,0.984675,0.179032,0.5
5.52,0.984938,0.178431,0.984938,0.178431,0.5
5.54,0.985197,0.177833,0.985197,0.177833,0.5
5.56,0.985452,0.17724,0.985452,0.17724,0.5
5.58,0.985702,0.176649,0.985702,0.176649,0.5
5.6,0.985948,0.176062,0.985948,0.176062,0.5
5.62,0.98619,0.175479,0.98619,0.175479,0.5
5.64,0.986428,0.174899,0.986428,0.174899,0.5
5.66,0.986662,0.174322,0.986662,0.174322,0.5
5.68,0.986892,0.173749,0.986892,0.173749,0.5
5.7,0.987118,0.173179,0.987118,0.173179,0.5
5.72,0.98734,0.172612,0.98734,0.172612,0.5
5.74,0.987559,0.172049,0.987559,0.172049,0.5
5.76,0.987774,0.171488,0.987774,0.171488,0.5
5.78,0.987985,0.170932,0.987985,0.170932,0.5
5.8,0.988193,0.170378,0.988193,0.170378,0.5
5.82,0.988397,0.169828,0.988397,0.169828,0.5
5.84,0.988597,0.16928,0.988597,0.16928,0.5
5.86,0.988795,0.168736,0.988795,0.168736,0.5
5.88,0.988989,0.168195,0.988989,0.168195,0.5
5.9,0.989179,0.167657,0.989179,0.167657,0.5
5.92,0.989367,0.167123,0.989367,0.167123,0.5
5.94,0.989551,0.166591,0.989551,0.166591,0.5
