x,y,M,S
-0.968504,-0.748031,-0.0150261,0
-0.968504,-0.732283,-0.0149871,0
-0.968504,-0.716535,-0.0149483,0
-0.968504,-0.700787,-0.0149098,0
-0.968504,-0.685039,-0.0148716,0
-0.968504,-0.669291,-0.0148336,0
-0.968504,-0.653543,-0.014796,0
-0.968504,-0.637795,-0.0147587,0
-0.968504,-0.622047,-0.0147217,0
-0.968504,-0.606299,-0.0146852,0
-0.968504,-0.590551,-0.014649,0
-0.968504,-0.574803,-0.0146133,0
-0.968504,-0.559055,-0.0145781,0
-0.968504,-0.543307,-0.0145434,0
-0.968504,-0.527559,-0.0145092,0
-0.968504,-0.511811,-0.0144755,0
-0.968504,-0.496063,-0.0144424,0
-0.968504,-0.480315,-0.0144099,0
-0.968504,-0.464567,-0.0143781,0
-0.968504,-0.448819,-0.0143469,0
-0.968504,-0.433071,-0.0143165,0
-0.968504,-0.417323,-0.0142867,0
-0.968504,-0.401575,-0.0142578,0
-0.968504,-0.385827,-0.0142296,0
-0.968504,-0.370079,-0.0142022,0
-0.968504,-0.354331,-0.0141757,0
-0.968504,-0.338583,-0.0141501,0
-0.968504,-0.322835,-0.0141254,0
-0.968504,-0.307087,-0.0141017,0
-0.968504,-0.291339,-0.0140789,0
-0.968504,-0.275591,-0.0140571,0
-0.968504,-0.259843,-0.0140364,0
-0.968504,-0.244094,-0.0140167,0
-0.968504,-0.228346,-0.0139981,0
-0.968504,-0.212598,-0.0139806,0
-0.968504,-0.19685,-0.0139643,0
-0.968504,-0.181102,-0.0139491,0
-0.968504,-0.165354,-0.0139351,0
-0.968504,-0.149606,-0.0139223,0
-0.968504,-0.133858,-0.0139108,0
-0.968504,-0.11811,-0.0139004,0
-0.968504,-0.102362,-0.0138914,0
-0.968504,-0.0866142,-0.0138836,0
-0.968504,-0.0708661,-0.013877,0
-0.968504,-0.0551181,-0.0138718,0
-0.968504,-0.0393701,-0.0138679,0
-0.968504,-0.023622,-0.0138653,0
-0.968504,-0.00787402,-0.0138639,0
-0.968504,0.00787402,-0.0138639,0
-0.968504,0.023622,-0.0138653,0
-0.968504,0.0393701,-0.0138679,0
-0.968504,0.0551181,-0.0138718,0
-0.968504,0.0708661,-0.013877,0
-0.968504,0.0866142,-0.0138836,0
-0.968504,0.102362,-0.0138914,0
-0.968504,0.11811,-0.0139004,0
-0.968504,0.133858,-0.0139108,0
-0.968504,0.149606,-0.0139223,0
-0.968504,0.165354,-0.0139351,0
-0.968504,0.181102,-0.0139491,0
-0.968504,0.19685,-0.0139643,0
-0.968504,0.212598,-0.0139806,0
-0.968504,0.228346,-0.0139981,0
-0.968504,0.244094,-0.0140167,0
-0.968504,0.259843,-0.0140364,0
-0.968504,0.275591,-0.0140571,0
-0.968504,0.291339,-0.0140789,0
-0.968504,0.307087,-0.0141017,0
-0.968504,0.322835,-0.0141254,0
-0.968504,0.338583,-0.0141501,0
-0.968504,0.354331,-0.0141757,0
-0.968504,0.370079,-0.0142022,0
-0.968504,0.385827,-0.0142296,0
-0.968504,0.401575,-0.0142578,0
-0.968504,0.417323,-0.0142867,0
-0.968504,0.433071,-0.0143165,0
-0.968504,0.448819,-0.0143469,0
-0.968504,0.464567,-0.0143781,0
-0.968504,0.480315,-0.0144099,0
-0.968504,0.496063,-0.0144424,0
-0.968504,0.511811,-0.0144755,0
-0.968504,0.527559,-0.0145092,0
-0.968504,0.543307,-0.0145434,0
-0.968504,0.559055,-0.0145781,0
-0.968504,0.574803,-0.0146133,0
-0.968504,0.590551,-0.014649,0
-0.968504,0.606299,-0.0146852,0
-0.968504,0.622047,-0.0147217,0
-0.968504,0.637795,-0.0147587,0
-0.968504,0.653543,-0.014796,0
-0.968504,0.669291,-0.0148336,0
-0.968504,0.685039,-0.0148716,0
-0.968504,0.700787,-0.0149098,0
-0.968504,0.716535,-0.0149483,0
-0.968504,0.732283,-0.0149871,0
-0.968504,0.748031,-0.0150261,0
-0.968504,0.76378,-0.0150653,0
-0.968504,0.779528,-0.0151047,0
-0.968504,0.795276,-0.0151443,0
-0.968504,0.811024,-0.015184,0
-0.968504,0.826772,-0.0152239,0
-0.968504,0.84252,-0.0152638,0
-0.968504,0.858268,-0.0153039,0
-0.968504,0.874016,-0.0153441,0
-0.968504,0.889764,-0.0153843,0
-0.968504,0.905512,-0.0154247,0
-0.968504,0.92126,-0.015465,0
-0.968504,0.937008,-0.0155054,0
-0.968504,0.952756,-0.0155458,0
-0.968504,0.968504,-0.0155862,0
-0.968504,0.984252,-0.0156267,0
-0.968504,1,-0.0156671,0
-0.952756,-1,-0.0156277,0
-0.952756,-0.984252,-0.0155868,0
-0.952756,-0.968504,-0.0155458,0
-0.952756,-0.952756,-0.0155048,0
-0.952756,-0.937008,-0.0154638,0
-0.952756,-0.92126,-0.0154229,0
-0.952756,-0.905512,-0.0153819,0
-0.952756,-0.889764,-0.015341,0
-0.952756,-0.874016,-0.0153002,0
-0.952756,-0.858268,-0.0152594,0
-0.952756,-0.84252,-0.0152186,0
-0.952756,-0.826772,-0.015178,0
-0.952756,-0.811024,-0.0151375,0
-0.952756,-0.795276,-0.0150971,0
-0.952756,-0.779528,-0.0150569,0
-0.952756,-0.76378,-0.0150168,0
-0.952756,-0.748031,-0.0149769,0
-0.952756,-0.732283,-0.0149372,0
-0.952756,-0.716535,-0.0148977,0
-0.952756,-0.700787,-0.0148584,0
-0.952756,-0.685039,-0.0148195,0
-0.952756,-0.669291,-0.0147808,0
-0.952756,-0.653543,-0.0147424,0
-0.952756,-0.637795,-0.0147043,0
-0.952756,-0.622047,-0.0146667,0
-0.952756,-0.606299,-0.0146293,0
-0.952756,-0.590551,-0.0145924,0
-0.952756,-0.574803,-0.014556,0
-0.952756,-0.559055,-0.01452,0
-0.952756,-0.543307,-0.0144845,0
-0.952756,-0.527559,-0.0144495,0
-0.952756,-0.511811,-0.0144151,0
-0.952756,-0.496063,-0.0143812,0
-0.952756,-0.480315,-0.014348,0
-0.952756,-0.464567,-0.0143154,0
-0.952756,-0.448819,-0.0142835,0
-0.952756,-0.433071,-0.0142523,0
-0.952756,-0.417323,-0.0142218,0
-0.952756,-0.401575,-0.0141921,0
-0.952756,-0.385827,-0.0141632,0
-0.952756,-0.370079,-0.0141351,0
-0.952756,-0.354331,-0.014108,0
-0.952756,-0.338583,-0.0140817,0
-0.952756,-0.322835,-0.0140563,0
-0.952756,-0.307087,-0.0140319,0
-0.952756,-0.291339,-0.0140085,0
-0.952756,-0.275591,-0.0139862,0
-0.952756,-0.259843,-0.0139648,0
-0.952756,-0.244094,-0.0139446,0
-0.952756,-0.228346,-0.0139255,0
-0.952756,-0.212598,-0.0139075,0
-0.952756,-0.19685,-0.0138907,0
-0.952756,-0.181102,-0.0138751,0
-0.952756,-0.165354,-0.0138607,0
-0.952756,-0.149606,-0.0138475,0
-0.952756,-0.133858,-0.0138356,0
-0.952756,-0.11811,-0.013825,0
-0.952756,-0.102362,-0.0138157,0
-0.952756,-0.0866142,-0.0138076,0
-0.952756,-0.0708661,-0.0138009,0
-0.952756,-0.0551181,-0.0137955,0
-0.952756,-0.0393701,-0.0137915,0
-0.952756,-0.023622,-0.0137888,0
-0.952756,-0.00787402,-0.0137874,0
-0.952756,0.00787402,-0.0137874,0
-0.952756,0.023622,-0.0137888,0
-0.952756,0.0393701,-0.0137915,0
-0.952756,0.0551181,-0.0137955,0
-0.952756,0.0708661,-0.0138009,0
-0.952756,0.0866142,-0.0138076,0
-0.952756,0.102362,-0.0138157,0
-0.952756,0.11811,-0.013825,0
-0.952756,0.133858,-0.0138356,0
-0.952756,0.149606,-0.0138475,0
-0.952756,0.165354,-0.0138607,0
-0.952756,0.181102,-0.0138751,0
-0.952756,0.19685,-0.0138907,0
-0.952756,0.212598,-0.0139075,0
-0.952756,0.228346,-0.0139255,0
-0.952756,0.244094,-0.0139446,0
-0.952756,0.259843,-0.0139648,0
-0.952756,0.275591,-0.0139862,0
-0.952756,0.291339,-0.0140085,0
-0.952756,0.307087,-0.0140319,0
-0.952756,0.322835,-0.0140563,0
-0.952756,0.338583,-0.0140817,0
-0.952756,0.354331,-0.014108,0
-0.952756,0.370079,-0.0141351,0
-0.952756,0.385827,-0.0141632,0
-0.952756,0.401575,-0.0141921,0
-0.952756,0.417323,-0.0142218,0
-0.952756,0.433071,-0.0142523,0
-0.952756,0.448819,-0.0142835,0
-0.952756,0.464567,-0.0143154,0
-0.952756,0.480315,-0.014348,0
-0.952756,0.496063,-0.0143812,0
-0.952756,0.511811,-0.0144151,0
-0.952756,0.527559,-0.0144495,0
-0.952756,0.543307,-0.0144845,0
-0.952756,0.559055,-0.01452,0
-0.952756,0.574803,-0.014556,0
-0.952756,0.590551,-0.0145924,0
-0.952756,0.606299,-0.0146293,0
-0.952756,0.622047,-0.0146667,0
-0.952756,0.637795,-0.0147043,0
-0.952756,0.653543,-0.0147424,0
-0.952756,0.669291,-0.0147808,0
-0.952756,0.685039,-0.0148195,0
-0.952756,0.700787,-0.0148584,0
-0.952756,0.716535,-0.0148977,0
-0.952756,0.732283,-0.0149372,0
-0.952756,0.748031,-0.0149769,0
-0.952756,0.76378,-0.0150168,0
-0.952756,0.779528,-0.0150569,0
-0.952756,0.795276,-0.0150971,0
-0.952756,0.811024,-0.0151375,0
-0.952756,0.826772,-0.015178,0
-0.952756,0.84252,-0.0152186,0
-0.952756,0.858268,-0.0152594,0
-0.952756,0.874016,-0.0153002,0
-0.952756,0.889764,-0.015341,0
-0.952756,0.905512,-0.0153819,0
-0.952756,0.92126,-0.0154229,0
-0.952756,0.937008,-0.0154638,0
-0.952756,0.952756,-0.0155048,0
-0.952756,0.968504,-0.0155458,0
-0.952756,0.984252,-0.0155868,0
-0.952756,1,-0.0156277,0
-0.937008,-1,-0.0155884,0
-0.937008,-0.984252,-0.0155469,0
-0.937008,-0.968504,-0.0155054,0
-0.937008,-0.952756,-0.0154638,0
-0.937008,-0.937008,-0.0154223,0
-0.937008,-0.92126,-0.0153807,0
-0.937008,-0.905512,-0.0153392,0
-0.937008,-0.889764,-0.0152976,0
-0.937008,-0.874016,-0.0152561,0
-0.937008,-0.858268,-0.0152147,0
