t,y,abs_err,rel_err,h
0.34375,0.945071,0.00251952,0.00265887,0.015625
0.359375,0.939995,0.00263469,0.00279504,0.015625
0.375,0.934716,0.00274916,0.00293254,0.015625
0.390625,0.92924,0.00286289,0.00307143,0.015625
0.40625,0.923568,0.00297584,0.00321176,0.015625
0.421875,0.917705,0.00308797,0.0033536,0.015625
0.4375,0.911656,0.00319925,0.003497,0.015625
0.453125,0.905424,0.00330963,0.00364202,0.015625
0.46875,0.899014,0.00341907,0.00378872,0.015625
0.484375,0.892429,0.00352754,0.00393717,0.015625
0.5,0.885675,0.00363499,0.00408742,0.015625
0.515625,0.878756,0.00374138,0.00423954,0.015625
0.53125,0.871676,0.00384667,0.00439357,0.015625
0.546875,0.86444,0.00395081,0.00454958,0.015625
0.5625,0.857054,0.00405378,0.00470763,0.015625
0.578125,0.849521,0.00415551,0.00486778,0.015625
0.59375,0.841847,0.00425598,0.00503009,0.015625
0.609375,0.834037,0.00435513,0.00519462,0.015625
0.625,0.826096,0.00445292,0.00536143,0.015625
0.640625,0.818028,0.00454932,0.00553057,0.015625
0.65625,0.80984,0.00464427,0.0057021,0.015625
0.671875,0.801536,0.00473774,0.00587609,0.015625
0.6875,0.793121,0.00482968,0.0060526,0.015625
0.703125,0.784602,0.00492004,0.00623168,0.015625
0.71875,0.775982,0.00500879,0.00641338,0.015625
0.734375,0.767267,0.00509588,0.00659779,0.015625
0.75,0.758463,0.00518128,0.00678494,0.015625
0.765625,0.749575,0.00526493,0.0069749,0.015625
0.78125,0.740608,0.0053468,0.00716772,0.015625
0.796875,0.731567,0.00542684,0.00736348,0.015625
0.8125,0.722458,0.00550502,0.00756222,0.015625
0.828125,0.713286,0.00558129,0.00776401,0.015625
0.84375,0.704057,0.00565563,0.0079689,0.015625
0.859375,0.694775,0.00572798,0.00817695,0.015625
0.875,0.685445,0.00579831,0.00838822,0.015625
0.890625,0.676074,0.00586658,0.00860278,0.015625
0.90625,0.666666,0.00593277,0.00882067,0.015625
0.921875,0.657226,0.00599683,0.00904195,0.015625
0.9375,0.647759,0.00605873,0.0092667,0.015625
