t,x,y,method
+4.838053e+01,-1.362054e+03,-3.433489e+02,Euler
+4.869469e+01,-1.469920e+03,+8.455288e+01,Euler
+4.900885e+01,-1.443357e+03,+5.463418e+02,Euler
+4.932300e+01,-1.271718e+03,+9.997857e+02,Euler
+4.963716e+01,-9.576265e+02,+1.399308e+03,Euler
+4.995132e+01,-5.180210e+02,+1.700155e+03,Euler
+5.026548e+01,+1.609852e+01,+1.862896e+03,Euler
+5.057964e+01,+6.013446e+02,+1.857839e+03,Euler
+5.089380e+01,+1.185002e+03,+1.668921e+03,Euler
+5.120796e+01,+1.709309e+03,+1.296641e+03,Euler
+5.152212e+01,+2.116661e+03,+7.596462e+02,Euler
+5.183628e+01,+2.355311e+03,+9.467765e+01,Euler
+5.215044e+01,+2.385054e+03,-6.452650e+02,Euler
+5.246460e+01,+2.182338e+03,-1.394552e+03,Euler
+5.277876e+01,+1.744227e+03,-2.080154e+03,Euler
+5.309292e+01,+1.090727e+03,-2.628119e+03,Euler
+5.340708e+01,+2.650796e+02,-2.970781e+03,Euler
+5.372123e+01,-6.682188e+02,-3.054058e+03,Euler
+5.403539e+01,-1.627679e+03,-2.844131e+03,Euler
+5.434955e+01,-2.521190e+03,-2.332780e+03,Euler
+5.466371e+01,-3.254054e+03,-1.540725e+03,Euler
+5.497787e+01,-3.738087e+03,-5.184341e+02,Euler
+5.529203e+01,-3.900958e+03,+6.559207e+02,Euler
+5.560619e+01,-3.694895e+03,+1.881443e+03,Euler
+5.592035e+01,-3.103822e+03,+3.042228e+03,Euler
+5.623451e+01,-2.148078e+03,+4.017323e+03,Euler
+5.654867e+01,-8.859986e+02,+4.692161e+03,Euler
+5.686283e+01,+5.880873e+02,+4.970506e+03,Euler
+5.717699e+01,+2.149618e+03,+4.785753e+03,Euler
+5.749115e+01,+3.653106e+03,+4.110430e+03,Euler
+5.780530e+01,+4.944436e+03,+2.962773e+03,Euler
+5.811946e+01,+5.875219e+03,+1.409433e+03,Euler
+5.843362e+01,+6.318005e+03,-4.363216e+02,Euler
+5.874778e+01,+6.180931e+03,-2.421181e+03,Euler
+5.906194e+01,+5.420294e+03,-4.362978e+03,Euler
+5.937610e+01,+4.049624e+03,-6.065814e+03,Euler
+5.969026e+01,+2.143993e+03,-7.338041e+03,Euler
+6.000442e+01,-1.613209e+02,-8.011596e+03,Euler
+6.031858e+01,-2.678238e+03,-7.960915e+03,Euler
+6.063274e+01,-5.179233e+03,-7.119522e+03,Euler
+6.094690e+01,-7.415897e+03,-5.492418e+03,Euler
+6.126106e+01,-9.141391e+03,-3.162645e+03,Euler
+6.157522e+01,-1.013497e+04,-2.907925e+02,Euler
+6.188938e+01,-1.022632e+04,+2.893201e+03,Euler
+6.220353e+01,-9.317395e+03,+6.105894e+03,Euler
+6.251769e+01,-7.399171e+03,+9.033040e+03,Euler
+6.283185e+01,-4.561358e+03,+1.135756e+04,Euler
+3.141593e-01,+9.506520e-01,-3.141593e-01,RK2
+6.283185e-01,+8.050431e-01,-5.973123e-01,RK2
+9.424778e-01,+5.776647e-01,-8.207478e-01,RK2
+1.256637e+00,+2.913125e-01,-9.617243e-01,RK2
+1.570796e+00,-2.519776e-02,-1.005784e+00,RK2
+1.884956e+00,-3.399305e-01,-9.482341e-01,RK2
+2.199115e+00,-6.210522e-01,-7.946483e-01,RK2
+2.513274e+00,-8.400506e-01,-5.603247e-01,RK2
+2.827433e+00,-9.746269e-01,-2.687641e-01,RK2
+3.141593e+00,-1.010966e+00,+5.068698e-02,RK2
+3.455752e+00,-9.451528e-01,+3.657899e-01,RK2
+3.769911e+00,-7.835951e-01,+6.446674e-01,RK2
+4.084070e+00,-5.423980e-01,+8.590280e-01,RK2
+4.398230e+00,-2.457601e-01,+9.870360e-01,RK2
+4.712389e+00,+7.645421e-02,+1.015536e+00,RK2
+5.026548e+00,+3.917212e-01,+9.414021e-01,RK2
+5.340708e+00,+6.681408e-01,+7.718829e-01,RK2
+5.654867e+00,+8.776635e-01,+5.238894e-01,RK2
+5.969026e+00,+9.989373e-01,+2.223104e-01,RK2
+6.283185e+00,+1.019483e+00,-1.024856e-01,RK2
+6.597345e+00,+9.369763e-01,-4.177080e-01,RK2
+6.911504e+00,+7.595115e-01,-6.914547e-01,RK2
+7.225663e+00,+5.048042e-01,-8.959404e-01,RK2
+7.539822e+00,+1.984251e-01,-1.010316e+00,RK2
+7.853982e+00,-1.287670e-01,-1.022796e+00,RK2
+8.168141e+00,-4.437336e-01,-9.318701e-01,RK2
+8.482300e+00,-7.145918e-01,-7.464811e-01,RK2
+8.796459e+00,-9.138421e-01,-4.851481e-01,RK2
+9.110619e+00,-1.021160e+00,-1.741150e-01,RK2
+9.424778e+00,-1.025467e+00,+1.552839e-01,RK2
+9.738937e+00,-9.260786e-01,+4.697810e-01,RK2
+1.005310e+01,-7.327924e-01,+7.375344e-01,RK2
+1.036726e+01,-4.649272e-01,+9.313520e-01,RK2
+1.068142e+01,-1.493911e-01,+1.031453e+00,RK2
+1.099557e+01,+1.820215e-01,+1.027485e+00,RK2
+1.130973e+01,+4.958331e-01,+9.195972e-01,RK2
+1.162389e+01,+7.602647e-01,+7.184463e-01,RK2
+1.193805e+01,+9.484537e-01,+4.441482e-01,RK2
+1.225221e+01,+1.041183e+00,+1.242648e-01,RK2
+1.256637e+01,+1.028841e+00,-2.089646e-01,RK2
+1.288053e+01,+9.124219e-01,-5.218726e-01,RK2
+1.319469e+01,+7.034446e-01,-7.827650e-01,RK2
+1.350885e+01,+4.228181e-01,-9.651308e-01,RK2
+1.382301e+01,+9.874807e-02,-1.050336e+00,RK2
+1.413717e+01,-2.360976e-01,-1.029526e+00,RK2
+1.445133e+01,-5.478819e-01,-9.045490e-01,RK2
+1.476549e+01,-8.050175e-01,-6.877891e-01,RK2
+1.507964e+01,-9.813668e-01,-4.009444e-01,RK2
+1.539380e+01,-1.058899e+00,-7.285309e-02,RK2
+1.570796e+01,-1.029532e+00,+2.634049e-01,RK2
+1.602212e+01,-8.959751e-01,+5.738433e-01,RK2
+1.633628e+01,-6.714823e-01,+8.270041e-01,RK2
+1.665044e+01,-3.785350e-01,+9.971455e-01,RK2
+1.696460e+01,-4.659257e-02,+1.066859e+00,RK2
+1.727876e+01,+2.908702e-01,+1.028849e+00,RK2
+1.759292e+01,+5.997387e-01,+8.866975e-01,RK2
+1.790708e+01,+8.487070e-01,+6.545273e-01,RK2
+1.822124e+01,+1.012451e+00,+3.555985e-01,RK2
+1.853540e+01,+1.074203e+00,+1.997960e-02,RK2
+1.884956e+01,+1.027470e+00,-3.184772e-01,RK2
+1.916372e+01,+8.767138e-01,-6.255501e-01,RK2
+1.947787e+01,+6.369273e-01,-8.701082e-01,RK2
+1.979203e+01,+3.321436e-01,-1.027267e+00,RK2
+2.010619e+01,-6.972356e-03,-1.080919e+00,RK2
+2.042035e+01,-3.462090e-01,-1.025387e+00,RK2
+2.073451e+01,-6.512593e-01,-8.660219e-01,RK2
+2.104867e+01,-8.911897e-01,-6.186863e-01,RK2
+2.136283e+01,-1.041577e+00,-3.081798e-01,RK2
+2.167699e+01,-1.086995e+00,+3.424942e-02,RK2
+2.199115e+01,-1.022594e+00,+3.740489e-01,RK2
+2.230531e+01,-8.546203e-01,+6.768477e-01,RK2
+2.261947e+01,-5.998085e-01,+9.119335e-01,RK2
+2.293363e+01,-2.837168e-01,+1.055367e+00,RK2
+2.324779e+01,+6.183734e-02,+1.092419e+00,RK2
+2.356194e+01,+4.019793e-01,+1.019083e+00,RK2
+2.387610e+01,+7.022969e-01,+8.425081e-01,RK2
+2.419026e+01,+9.323216e-01,+5.802989e-01,RK2
+2.450442e+01,+1.068620e+00,+2.587648e-01,RK2
