t,x,y,vx,vy,E,L
69.0916,3.96497,0.28903,-0.0663678,0.271441,-0.212499,-1.09544
70.5142,3.80593,0.668311,-0.157882,0.2601,-0.212499,-1.09544
71.7842,3.55108,0.987279,-0.244525,0.240497,-0.212499,-1.09544
72.8589,3.2462,1.23264,-0.32406,0.214401,-0.212498,-1.09544
73.7525,2.92469,1.41106,-0.396677,0.183165,-0.212498,-1.09544
74.4957,2.60553,1.53462,-0.463286,0.147558,-0.212498,-1.09544
75.1177,2.2986,1.61464,-0.524726,0.107975,-0.212497,-1.09544
75.642,2.00878,1.66037,-0.581591,0.064607,-0.212497,-1.09544
76.0874,1.7382,1.67908,-0.634241,0.017545,-0.212496,-1.09544
76.4683,1.48747,1.67647,-0.682845,-0.0331637,-0.212496,-1.09544
76.7961,1.25637,1.65701,-0.727424,-0.0874828,-0.212496,-1.09544
77.0799,1.04421,1.62424,-0.767882,-0.145365,-0.212495,-1.09544
77.327,0.850025,1.58099,-0.804033,-0.206735,-0.212495,-1.09544
77.5432,0.672753,1.5295,-0.835616,-0.27148,-0.212495,-1.09544
77.7334,0.511272,1.4716,-0.862316,-0.339435,-0.212495,-1.09544
77.9015,0.364467,1.40873,-0.883778,-0.410377,-0.212495,-1.09544
78.0508,0.231257,1.34209,-0.899619,-0.484013,-0.212495,-1.09544
78.1841,0.110614,1.27262,-0.909448,-0.55998,-0.212494,-1.09544
78.3038,0.00157208,1.20108,-0.912876,-0.637833,-0.212494,-1.09544
78.4116,-0.0967697,1.1281,-0.909536,-0.717049,-0.212494,-1.09544
78.5094,-0.185242,1.05416,-0.8991,-0.797023,-0.212494,-1.09544
78.5984,-0.264609,0.979646,-0.881293,-0.877072,-0.212494,-1.09544
78.6801,-0.335566,0.904864,-0.855915,-0.956443,-0.212494,-1.09544
78.7553,-0.398745,0.830047,-0.822854,-1.03432,-0.212494,-1.09544
78.8249,-0.454717,0.755369,-0.7821,-1.10984,-0.212494,-1.09544
78.8899,-0.503994,0.680959,-0.733764,-1.18211,-0.212494,-1.09544
78.9507,-0.547031,0.606904,-0.678081,-1.25022,-0.212494,-1.09544
79.0082,-0.584234,0.533262,-0.615417,-1.31327,-0.212494,-1.09544
79.0627,-0.615957,0.460061,-0.546275,-1.37042,-0.212494,-1.09544
79.1148,-0.642508,0.38731,-0.471284,-1.42084,-0.212494,-1.09544
79.165,-0.664152,0.315,-0.391196,-1.46384,-0.212494,-1.09544
79.2135,-0.681109,0.243108,-0.306869,-1.49878,-0.212494,-1.09544
79.2607,-0.693563,0.171602,-0.219252,-1.52519,-0.212494,-1.09544
79.3071,-0.701658,0.100442,-0.129357,-1.54269,-0.212494,-1.09544
79.3529,-0.705501,0.0295814,-0.0382406,-1.55111,-0.212494,-1.09544
79.3984,-0.705164,-0.0410269,0.0530248,-1.55037,-0.212494,-1.09544
79.4439,-0.700685,-0.111432,0.143379,-1.54058,-0.212494,-1.09544
79.4898,-0.692071,-0.181682,0.231797,-1.52199,-0.212494,-1.09544
79.5363,-0.679292,-0.251821,0.317315,-1.49498,-0.212494,-1.09544
79.5837,-0.662289,-0.321888,0.399049,-1.46007,-0.212494,-1.09544
79.6323,-0.640969,-0.391916,0.476211,-1.41786,-0.212494,-1.09544
79.6826,-0.615209,-0.461928,0.548126,-1.36903,-0.212494,-1.09544
79.7347,-0.584852,-0.531937,0.614232,-1.31436,-0.212494,-1.09544
79.7892,-0.549708,-0.601941,0.674089,-1.25462,-0.212494,-1.09544
79.8465,-0.509556,-0.671921,0.727377,-1.19064,-0.212494,-1.09544
79.9069,-0.46414,-0.741842,0.773893,-1.12322,-0.212494,-1.09544
79.9711,-0.41317,-0.811643,0.813539,-1.05316,-0.212494,-1.09544
80.0395,-0.35632,-0.881238,0.846316,-0.981227,-0.212494,-1.09544
80.1128,-0.293231,-0.95051,0.872315,-0.908135,-0.212494,-1.09544
80.1918,-0.223505,-1.0193,0.891697,-0.834551,-0.212494,-1.09544
80.2773,-0.146709,-1.08743,0.904685,-0.761082,-0.212494,-1.09544
80.3701,-0.0623728,-1.15463,0.911552,-0.688269,-0.212495,-1.09544
80.4713,0.03001,-1.22062,0.912606,-0.616591,-0.212495,-1.09544
80.5822,0.130981,-1.28501,0.908176,-0.546458,-0.212495,-1.09544
80.7041,0.241115,-1.34736,0.898606,-0.478219,-0.212495,-1.09544
80.8385,0.361016,-1.40712,0.884243,-0.412164,-0.212495,-1.09544
80.9874,0.491312,-1.46364,0.865425,-0.348525,-0.212495,-1.09544
81.1529,0.632647,-1.51614,0.842478,-0.287483,-0.212495,-1.09544
81.3375,0.785668,-1.56367,0.815705,-0.229177,-0.212495,-1.09544
81.544,0.951008,-1.60512,0.785382,-0.173702,-0.212495,-1.09544
81.7759,1.12926,-1.63913,0.751748,-0.121121,-0.212495,-1.09544
82.0374,1.32094,-1.66411,0.715005,-0.071471,-0.212495,-1.09544
82.333,1.52643,-1.67812,0.675305,-0.0247667,-0.212496,-1.09544
82.6687,1.74591,-1.67885,0.632745,0.0189901,-0.212496,-1.09544
83.0514,1.97923,-1.66351,0.587357,0.0598035,-0.212496,-1.09544
83.4893,2.22574,-1.62873,0.539096,0.0976736,-0.212496,-1.09544
83.9927,2.48405,-1.57044,0.487822,0.132583,-0.212496,-1.09544
84.574,2.75156,-1.48371,0.433274,0.164482,-0.212497,-1.09544
85.2486,3.02391,-1.36263,0.375045,0.193256,-0.212497,-1.09544
86.0347,3.29384,-1.20022,0.312539,0.218687,-0.212497,-1.09544
86.9537,3.54963,-0.988704,0.244949,0.240378,-0.212497,-1.09544
88.0274,3.77266,-0.720674,0.171288,0.257641,-0.212498,-1.09544
89.2689,3.93488,-0.392744,0.0906664,0.269342,-0.212498,-1.09544
90.6603,3.99997,-0.0138412,0.00316032,0.27385,-0.212498,-1.09544
92.1209,3.93775,0.384124,-0.0886285,0.269543,-0.212498,-1.09544
93.5153,3.75146,0.751739,-0.179361,0.256061,-0.212498,-1.09544
94.7391,3.48061,1.05312,-0.26437,0.234735,-0.212498,-1.09544
95.7677,3.16929,1.28135,-0.34217,0.2073,-0.212498,-1.09544
96.6222,2.84704,1.44542,-0.413252,0.174958,-0.212497,-1.09544
97.3337,2.53016,1.55752,-0.478547,0.138367,-0.212497,-1.09544
97.9301,2.22705,1.6285,-0.538838,0.0978588,-0.212497,-1.09543
98.4339,1.94174,1.66711,-0.594662,0.0535942,-0.212496,-1.09543
98.8625,1.67593,1.68021,-0.646327,0.00564955,-0.212496,-1.09543
99.2297,1.42997,1.67317,-0.693964,-0.045933,-0.212496,-1.09543
99.5461,1.20352,1.65021,-0.737562,-0.101116,-0.212495,-1.09543
99.8205,0.995783,1.61468,-0.777002,-0.159847,-0.212495,-1.09543
100.06,0.805781,1.56925,-0.812078,-0.222044,-0.212495,-1.09543
100.269,0.632419,1.51606,-0.842514,-0.28758,-0.212495,-1.09543
100.454,0.474578,1.45684,-0.867985,-0.356278,-0.212494,-1.09543
100.617,0.331148,1.39297,-0.888127,-0.427898,-0.212494,-1.09543
100.762,0.20106,1.32556,-0.902555,-0.502133,-0.212494,-1.09543
100.892,0.0833004,1.25553,-0.910876,-0.578598,-0.212494,-1.09543
101.009,-0.0230819,1.1836,-0.912705,-0.656831,-0.212494,-1.09543
101.114,-0.118971,1.11034,-0.907682,-0.736288,-0.212494,-1.09543
101.209,-0.20518,1.03623,-0.895492,-0.816345,-0.212494,-1.09543
101.297,-0.282458,0.961629,-0.875875,-0.896302,-0.212494,-1.09543
101.377,-0.351484,0.886819,-0.848652,-0.975389,-0.212494,-1.09543
101.45,-0.412876,0.812022,-0.813732,-1.05278,-0.212494,-1.09543
101.519,-0.467188,0.737399,-0.771136,-1.1276,-0.212494,-1.09543
101.583,-0.514921,0.663068,-0.721002,-1.19894,-0.212494,-1.09543
101.643,-0.556516,0.589109,-0.663597,-1.26592,-0.212494,-1.09543
101.699,-0.592367,0.515571,-0.599321,-1.32763,-0.212494,-1.09543
101.753,-0.622817,0.442479,-0.528706,-1.38322,-0.212494,-1.09543
101.805,-0.648162,0.369836,-0.452413,-1.43192,-0.212494,-1.09543
101.855,-0.668657,0.29763,-0.371221,-1.47302,-0.212494,-1.09543
101.903,-0.684514,0.225835,-0.286011,-1.50595,-0.212493,-1.09543
101.95,-0.695905,0.154417,-0.197749,-1.53024,-0.212493,-1.09543
101.996,-0.702966,0.0833333,-0.107462,-1.54556,-0.212493,-1.09543
102.042,-0.705796,0.0125386,-0.016212,-1.55177,-0.212493,-1.09543
102.087,-0.704458,-0.058016,0.07493,-1.54883,-0.212493,-1.09543
102.133,-0.698984,-0.128379,0.164909,-1.53689,-0.212493,-1.09543
102.179,-0.689369,-0.198598,0.252714,-1.51624,-0.212493,-1.09543
