x,f,s
72,-4.01761,2
72.4,-4.05134,2
72.8,-4.08521,2
73.2,-4.11922,2
73.6,-4.15341,2
74,-4.1878,2
74.4,-4.22241,2
74.8,-4.25728,2
75.2,-4.29245,2
75.6,-4.32797,2
76,-4.36389,2
76.4,-4.4003,2
76.8,-4.43728,2
77.2,-4.47497,2
77.6,-4.51355,2
78,-4.55325,2
78.4,-4.59448,2
78.8,-4.63787,2
79.2,-4.68471,2
79.6,-4.73827,2
0,9.42478,3
0.4,8.68154,3
0.8,8.37358,3
1.2,8.13721,3
1.6,7.93788,3
2,7.76222,3
2.4,7.60336,3
2.8,7.45724,3
3.2,7.32119,3
3.6,7.19337,3
4,7.07243,3
4.4,6.95738,3
4.8,6.84741,3
5.2,6.7419,3
5.6,6.64035,3
6,6.54234,3
6.4,6.44751,3
6.8,6.35557,3
7.2,6.26627,3
7.6,6.17939,3
8,6.09475,3
8.4,6.01216,3
8.8,5.9315,3
9.2,5.85262,3
9.6,5.77541,3
10,5.69978,3
10.4,5.62561,3
10.8,5.55283,3
11.2,5.48137,3
11.6,5.41114,3
12,5.3421,3
12.4,5.27417,3
12.8,5.2073,3
13.2,5.14145,3
13.6,5.07657,3
14,5.01261,3
14.4,4.94953,3
14.8,4.8873,3
15.2,4.82589,3
15.6,4.76525,3
16,4.70537,3
16.4,4.64621,3
16.8,4.58774,3
17.2,4.52994,3
17.6,4.47279,3
18,4.41626,3
18.4,4.36034,3
18.8,4.305,3
19.2,4.25022,3
19.6,4.19599,3
20,4.14229,3
20.4,4.0891,3
20.8,4.0364,3
21.2,3.98419,3
21.6,3.93245,3
22,3.88117,3
22.4,3.83032,3
22.8,3.77991,3
23.2,3.72991,3
23.6,3.68033,3
24,3.63114,3
24.4,3.58233,3
24.8,3.5339,3
25.2,3.48584,3
25.6,3.43814,3
26,3.39079,3
26.4,3.34377,3
26.8,3.29709,3
27.2,3.25074,3
27.6,3.2047,3
28,3.15897,3
28.4,3.11355,3
28.8,3.06842,3
29.2,3.02358,3
29.6,2.97903,3
30,2.93475,3
30.4,2.89075,3
30.8,2.84701,3
31.2,2.80353,3
31.6,2.7603,3
32,2.71732,3
32.4,2.67459,3
32.8,2.6321,3
33.2,2.58984,3
33.6,2.54782,3
34,2.50601,3
34.4,2.46443,3
34.8,2.42307,3
35.2,2.38192,3
35.6,2.34097,3
36,2.30024,3
36.4,2.2597,3
36.8,2.21936,3
37.2,2.17921,3
37.6,2.13925,3
38,2.09948,3
38.4,2.0599,3
38.8,2.02049,3
39.2,1.98126,3
39.6,1.9422,3
40,1.90331,3
40.4,1.86459,3
40.8,1.82603,3
41.2,1.78763,3
41.6,1.74939,3
42,1.71131,3
42.4,1.67338,3
42.8,1.6356,3
43.2,1.59796,3
43.6,1.56047,3
44,1.52313,3
44.4,1.48592,3
44.8,1.44885,3
45.2,1.41191,3
45.6,1.37511,3
46,1.33843,3
46.4,1.30189,3
46.8,1.26546,3
47.2,1.22917,3
47.6,1.19299,3
48,1.15693,3
48.4,1.12098,3
48.8,1.08515,3
49.2,1.04943,3
49.6,1.01383,3
50,0.978324,3
50.4,0.942928,3
50.8,0.907636,3
51.2,0.872444,3
51.6,0.837352,3
52,0.802357,3
52.4,0.767456,3
52.8,0.732649,3
53.2,0.697932,3
53.6,0.663305,3
54,0.628764,3
54.4,0.594308,3
54.8,0.559934,3
55.2,0.525641,3
55.6,0.491427,3
56,0.457289,3
56.4,0.423225,3
56.8,0.389234,3
57.2,0.355313,3
57.6,0.321459,3
58,0.287672,3
58.4,0.253948,3
58.8,0.220285,3
59.2,0.186681,3
59.6,0.153134,3
60,0.119641,3
60.4,0.0862,3
60.8,0.0528083,3
61.2,0.0194634,3
61.6,-0.0138373,3
62,-0.0470965,3
62.4,-0.0803169,3
62.8,-0.113502,3
63.2,-0.146653,3
63.6,-0.179775,3
64,-0.21287,3
64.4,-0.245942,3
64.8,-0.278995,3
65.2,-0.312031,3
65.6,-0.345055,3
66,-0.37807,3
66.4,-0.411081,3
66.8,-0.444093,3
67.2,-0.47711,3
67.6,-0.510138,3
68,-0.543181,3
68.4,-0.576245,3
68.8,-0.609337,3
69.2,-0.642464,3
69.6,-0.675632,3
70,-0.70885,3
70.4,-0.742127,3
70.8,-0.775471,3
71.2,-0.808893,3
71.6,-0.842404,3
72,-0.876019,3
72.4,-0.90975,3
72.8,-0.943614,3
73.2,-0.97763,3
73.6,-1.01182,3
74,-1.04621,3
74.4,-1.08082,3
74.8,-1.11569,3
