t,x,y,u,v,theta
0.46,0.367343,0.178378,0.798572,0.157779,0.658438
0.47,0.375329,0.179906,0.798572,0.147779,0.658438
0.48,0.383315,0.181334,0.798572,0.137779,0.658438
0.49,0.3913,0.182662,0.798572,0.127779,0.658438
0.5,0.399286,0.183889,0.798572,0.117779,0.658438
0.51,0.407272,0.185017,0.798572,0.107779,0.658438
0.52,0.415257,0.186045,0.798572,0.0977788,0.658438
0.53,0.423243,0.186973,0.798572,0.0877788,0.658438
0.54,0.431229,0.187801,0.798572,0.0777788,0.658438
0.55,0.439215,0.188528,0.798572,0.0677788,0.658438
0.56,0.4472,0.189156,0.798572,0.0577788,0.658438
0.57,0.455186,0.189684,0.798572,0.0477788,0.658438
0.58,0.463172,0.190112,0.798572,0.0377788,0.658438
0.59,0.471158,0.190439,0.798572,0.0277788,0.658438
0.6,0.479143,0.190667,0.798572,0.0177788,0.658438
0.61,0.487129,0.190795,0.798572,0.00777878,0.658438
0.62,0.495115,0.190823,0.798572,-0.00222122,0.658438
0.63,0.5031,0.190751,0.798572,-0.0122212,0.658438
0.64,0.511086,0.190578,0.798572,-0.0222212,0.658438
0.65,0.519072,0.190306,0.798572,-0.0322212,0.658438
0.66,0.527058,0.189934,0.798572,-0.0422212,0.658438
0.67,0.535043,0.189462,0.798572,-0.0522212,0.658438
0.68,0.543029,0.18889,0.798572,-0.0622212,0.658438
0.69,0.551015,0.188217,0.798572,-0.0722212,0.658438
0.7,0.559,0.187445,0.798572,-0.0822212,0.658438
0.71,0.566986,0.186573,0.798572,-0.0922212,0.658438
0.72,0.574972,0.185601,0.798572,-0.102221,0.658438
0.73,0.582958,0.184529,0.798572,-0.112221,0.658438
0.74,0.590943,0.183356,0.798572,-0.122221,0.658438
0.75,0.598929,0.182084,0.798572,-0.132221,0.658438
0.76,0.606915,0.180712,0.798572,-0.142221,0.658438
0.77,0.614901,0.17924,0.798572,-0.152221,0.658438
0.78,0.622886,0.177667,0.798572,-0.162221,0.658438
0.79,0.630872,0.175995,0.798572,-0.172221,0.658438
0.8,0.638858,0.174223,0.798572,-0.182221,0.658438
0.81,0.646843,0.172351,0.798572,-0.192221,0.658438
0.82,0.654829,0.170379,0.798572,-0.202221,0.658438
0.83,0.662815,0.168306,0.798572,-0.212221,0.658438
0.84,0.670801,0.166134,0.798572,-0.222221,0.658438
0.85,0.678786,0.163862,0.798572,-0.232221,0.658438
0.86,0.686772,0.16149,0.798572,-0.242221,0.658438
0.87,0.694758,0.159018,0.798572,-0.252221,0.658438
0.88,0.702743,0.156445,0.798572,-0.262221,0.658438
0.89,0.710729,0.153773,0.798572,-0.272221,0.658438
0.9,0.718715,0.151001,0.798572,-0.282221,0.658438
0.91,0.726701,0.148129,0.798572,-0.292221,0.658438
0.92,0.734686,0.145156,0.798572,-0.302221,0.658438
0.93,0.742672,0.142084,0.798572,-0.312221,0.658438
0.94,0.750658,0.138912,0.798572,-0.322221,0.658438
0.95,0.758643,0.13564,0.798572,-0.332221,0.658438
0.96,0.766629,0.132268,0.798572,-0.342221,0.658438
0.97,0.774615,0.128795,0.798572,-0.352221,0.658438
0.98,0.782601,0.125223,0.798572,-0.362221,0.658438
0.99,0.790586,0.121551,0.798572,-0.372221,0.658438
1,0.798572,0.117779,0.798572,-0.382221,0.658438
1.01,0.806558,0.113907,0.798572,-0.392221,0.658438
1.02,0.814544,0.109934,0.798572,-0.402221,0.658438
1.03,0.822529,0.105862,0.798572,-0.412221,0.658438
1.04,0.830515,0.10169,0.798572,-0.422221,0.658438
1.05,0.838501,0.0974177,0.798572,-0.432221,0.658438
1.06,0.846486,0.0930455,0.798572,-0.442221,0.658438
1.07,0.854472,0.0885733,0.798572,-0.452221,0.658438
1.08,0.862458,0.0840011,0.798572,-0.462221,0.658438
