t,x,delta_y,u,v,theta
0.181,0.141199,4.76841e-14,0.780107,0.459938,0.687775
0.182,0.141979,4.79061e-14,0.780107,0.458938,0.687775
0.183,0.14276,4.81559e-14,0.780107,0.457938,0.687775
0.184,0.14354,4.8378e-14,0.780107,0.456938,0.687775
0.185,0.14432,4.86139e-14,0.780107,0.455938,0.687775
0.186,0.1451,4.88498e-14,0.780107,0.454938,0.687775
0.187,0.14588,4.90857e-14,0.780107,0.453938,0.687775
0.188,0.14666,4.93078e-14,0.780107,0.452938,0.687775
0.189,0.14744,4.95159e-14,0.780107,0.451938,0.687775
0.19,0.14822,4.9738e-14,0.780107,0.450938,0.687775
0.191,0.149,4.99739e-14,0.780107,0.449938,0.687775
0.192,0.149781,5.01821e-14,0.780107,0.448938,0.687775
0.193,0.150561,5.04041e-14,0.780107,0.447938,0.687775
0.194,0.151341,5.06262e-14,0.780107,0.446938,0.687775
0.195,0.152121,5.08621e-14,0.780107,0.445938,0.687775
0.196,0.152901,5.10703e-14,0.780107,0.444938,0.687775
0.197,0.153681,5.13201e-14,0.780107,0.443938,0.687775
0.198,0.154461,5.15421e-14,0.780107,0.442938,0.687775
0.199,0.155241,5.17641e-14,0.780107,0.441938,0.687775
0.2,0.156021,5.20001e-14,0.780107,0.440938,0.687775
0.201,0.156801,5.22221e-14,0.780107,0.439938,0.687775
0.202,0.157582,5.24303e-14,0.780107,0.438938,0.687775
0.203,0.158362,5.26384e-14,0.780107,0.437938,0.687775
0.204,0.159142,5.28744e-14,0.780107,0.436938,0.687775
0.205,0.159922,5.30964e-14,0.780107,0.435938,0.687775
0.206,0.160702,5.33046e-14,0.780107,0.434938,0.687775
0.207,0.161482,5.35266e-14,0.780107,0.433938,0.687775
0.208,0.162262,5.37348e-14,0.780107,0.432938,0.687775
0.209,0.163042,5.39568e-14,0.780107,0.431938,0.687775
0.21,0.163822,5.41789e-14,0.780107,0.430938,0.687775
0.211,0.164603,5.43871e-14,0.780107,0.429938,0.687775
0.212,0.165383,5.46369e-14,0.780107,0.428938,0.687775
0.213,0.166163,5.48589e-14,0.780107,0.427938,0.687775
0.214,0.166943,5.50671e-14,0.780107,0.426938,0.687775
0.215,0.167723,5.52752e-14,0.780107,0.425938,0.687775
0.216,0.168503,5.54834e-14,0.780107,0.424938,0.687775
0.217,0.169283,5.56916e-14,0.780107,0.423938,0.687775
0.218,0.170063,5.58997e-14,0.780107,0.422938,0.687775
0.219,0.170843,5.61079e-14,0.780107,0.421938,0.687775
0.22,0.171623,5.63438e-14,0.780107,0.420938,0.687775
0.221,0.172404,5.6552e-14,0.780107,0.419938,0.687775
0.222,0.173184,5.6774e-14,0.780107,0.418938,0.687775
0.223,0.173964,5.69822e-14,0.780107,0.417938,0.687775
0.224,0.174744,5.71904e-14,0.780107,0.416938,0.687775
0.225,0.175524,5.73985e-14,0.780107,0.415938,0.687775
0.226,0.176304,5.76206e-14,0.780107,0.414938,0.687775
0.227,0.177084,5.78287e-14,0.780107,0.413938,0.687775
0.228,0.177864,5.80647e-14,0.780107,0.412938,0.687775
0.229,0.178644,5.82728e-14,0.780107,0.411938,0.687775
0.23,0.179425,5.8481e-14,0.780107,0.410938,0.687775
0.231,0.180205,5.86753e-14,0.780107,0.409938,0.687775
0.232,0.180985,5.88835e-14,0.780107,0.408938,0.687775
0.233,0.181765,5.90777e-14,0.780107,0.407938,0.687775
0.234,0.182545,5.92859e-14,0.780107,0.406938,0.687775
0.235,0.183325,5.94941e-14,0.780107,0.405938,0.687775
0.236,0.184105,5.973e-14,0.780107,0.404938,0.687775
0.237,0.184885,5.99382e-14,0.780107,0.403938,0.687775
0.238,0.185665,6.01463e-14,0.780107,0.402938,0.687775
0.239,0.186446,6.03545e-14,0.780107,0.401938,0.687775
0.24,0.187226,6.05627e-14,0.780107,0.400938,0.687775
0.241,0.188006,6.0757e-14,0.780107,0.399938,0.687775
0.242,0.188786,6.09512e-14,0.780107,0.398938,0.687775
0.243,0.189566,6.11455e-14,0.780107,0.397938,0.687775
0.244,0.190346,6.13676e-14,0.780107,0.396938,0.687775
0.245,0.191126,6.15619e-14,0.780107,0.395938,0.687775
0.246,0.191906,6.17562e-14,0.780107,0.394938,0.687775
0.247,0.192686,6.19504e-14,0.780107,0.393938,0.687775
0.248,0.193466,6.21725e-14,0.780107,0.392938,0.687775
0.249,0.194247,6.23668e-14,0.780107,0.391938,0.687775
0.25,0.195027,6.25611e-14,0.780107,0.390938,0.687775
0.251,0.195807,6.27831e-14,0.780107,0.389938,0.687775
0.252,0.196587,6.30052e-14,0.780107,0.388938,0.687775
0.253,0.197367,6.31994e-14,0.780107,0.387938,0.687775
0.254,0.198147,6.33937e-14,0.780107,0.386938,0.687775
0.255,0.198927,6.36158e-14,0.780107,0.385938,0.687775
0.256,0.199707,6.38101e-14,0.780107,0.384938,0.687775
0.257,0.200487,6.40321e-14,0.780107,0.383938,0.687775
0.258,0.201268,6.42264e-14,0.780107,0.382938,0.687775
0.259,0.202048,6.44484e-14,0.780107,0.381938,0.687775
0.26,0.202828,6.46705e-14,0.780107,0.380938,0.687775
0.261,0.203608,6.48648e-14,0.780107,0.379938,0.687775
0.262,0.204388,6.50868e-14,0.780107,0.378938,0.687775
0.263,0.205168,6.52811e-14,0.780107,0.377938,0.687775
0.264,0.205948,6.54754e-14,0.780107,0.376938,0.687775
0.265,0.206728,6.56419e-14,0.780107,0.375938,0.687775
0.266,0.207508,6.58362e-14,0.780107,0.374938,0.687775
0.267,0.208289,6.60583e-14,0.780107,0.373938,0.687775
0.268,0.209069,6.62248e-14,0.780107,0.372938,0.687775
0.269,0.209849,6.64191e-14,0.780107,0.371938,0.687775
0.27,0.210629,6.66134e-14,0.780107,0.370938,0.687775
0.271,0.211409,6.67799e-14,0.780107,0.369938,0.687775
0.272,0.212189,6.69742e-14,0.780107,0.368938,0.687775
0.273,0.212969,6.71685e-14,0.780107,0.367938,0.687775
0.274,0.213749,6.73628e-14,0.780107,0.366938,0.687775
0.275,0.214529,6.75848e-14,0.780107,0.365938,0.687775
0.276,0.215309,6.77514e-14,0.780107,0.364938,0.687775
0.277,0.21609,6.79456e-14,0.780107,0.363938,0.687775
0.278,0.21687,6.81399e-14,0.780107,0.362938,0.687775
0.279,0.21765,6.83342e-14,0.780107,0.361938,0.687775
0.28,0.21843,6.85285e-14,0.780107,0.360938,0.687775
0.281,0.21921,6.87228e-14,0.780107,0.359938,0.687775
0.282,0.21999,6.89171e-14,0.780107,0.358938,0.687775
0.283,0.22077,6.91391e-14,0.780107,0.357938,0.687775
0.284,0.22155,6.93334e-14,0.780107,0.356938,0.687775
0.285,0.22233,6.95277e-14,0.780107,0.355938,0.687775
0.286,0.223111,6.9722e-14,0.780107,0.354938,0.687775
0.287,0.223891,6.99163e-14,0.780107,0.353938,0.687775
0.288,0.224671,7.01106e-14,0.780107,0.352938,0.687775
0.289,0.225451,7.03049e-14,0.780107,0.351938,0.687775
0.29,0.226231,7.05547e-14,0.780107,0.350938,0.687775
0.291,0.227011,7.07212e-14,0.780107,0.349938,0.687775
0.292,0.227791,7.09155e-14,0.780107,0.348938,0.687775
