x,psi
6,-0.000203051
6.025,-0.000234977
6.05,-0.000272098
6.075,-0.000315286
6.1,-0.000365564
6.125,-0.000424132
6.15,-0.000492401
6.175,-0.000572026
6.2,-0.000664953
6.225,-0.000773475
6.25,-0.000900285
6.275,-0.00104856
6.3,-0.00122204
6.325,-0.00142513
6.35,-0.00166305
6.375,-0.00194193
6.4,-0.00226903
6.425,-0.00265293
6.45,-0.00310377
6.475,-0.00363355
6.5,-0.0042565
6.525,-0.00498944
6.55,-0.00585234
6.575,-0.00686887
6.6,-0.00806713
6.625,-0.0094805
6.65,-0.0111486
6.675,-0.0131187
6.7,-0.0154467
6.725,-0.0181995
6.75,-0.0214566
6.775,-0.0253129
6.8,-0.0298813
6.825,-0.0352967
6.85,-0.0417203
6.875,-0.0493444
6.9,-0.058399
6.925,-0.0691594
6.95,-0.0819548
6.975,-0.0971796
7,-0.115306
7.025,-0.136901
7.05,-0.162645
7.075,-0.193353
7.1,-0.230005
7.125,-0.27378
7.15,-0.326094
7.175,-0.388652
7.2,-0.463507
7.225,-0.553132
7.25,-0.660508
7.275,-0.789232
7.3,-0.943643
7.325,-1.12898
7.35,-1.35159
7.375,-1.61912
7.4,-1.94083
7.425,-2.32796
7.45,-2.79408
7.475,-3.35566
7.5,-4.03269
7.525,-4.8494
7.55,-5.83523
7.575,-7.02593
7.6,-8.46499
7.625,-10.2053
7.65,-12.3112
7.675,-14.8611
7.7,-17.9506
7.725,-21.6962
7.75,-26.24
7.775,-31.7557
7.8,-38.4551
7.825,-46.5975
7.85,-56.4999
7.875,-68.5501
7.9,-83.2234
7.925,-101.102
7.95,-122.899
7.975,-149.49
8,-181.95
8.025,-221.6
8.05,-270.061
8.075,-329.329
8.1,-401.86
8.125,-490.675
8.15,-599.501
8.175,-732.927
8.2,-896.619
8.225,-1097.57
8.25,-1344.4
8.275,-1647.79
8.3,-2020.93
8.325,-2480.14
8.35,-3045.63
8.375,-3742.42
8.4,-4601.55
8.425,-5661.5
8.45,-6970.01
8.475,-8586.4
8.5,-10584.3
8.525,-13055.5
8.55,-16113.7
8.575,-19901
8.6,-24594
8.625,-30412.9
8.65,-37632.5
8.675,-46595.4
8.7,-57729.5
8.725,-71569.5
8.75,-88783.7
8.775,-110208
8.8,-136889
8.825,-170137
8.85,-211595
8.875,-263321
8.9,-327900
8.925,-408575
8.95,-509422
8.975,-635562
9,-793439
9.025,-991160
9.05,-1.23894e+06
9.075,-1.54963e+06
9.1,-1.93947e+06
9.125,-2.42892e+06
9.15,-3.04381e+06
9.175,-3.81678e+06
9.2,-4.78907e+06
9.225,-6.01284e+06
9.25,-7.55411e+06
9.275,-9.49645e+06
9.3,-1.19458e+07
9.325,-1.50363e+07
9.35,-1.89384e+07
9.375,-2.38682e+07
9.4,-3.01004e+07
9.425,-3.79837e+07
9.45,-4.79621e+07
9.475,-6.06001e+07
9.5,-7.66166e+07
9.525,-9.69275e+07
9.55,-1.227e+08
9.575,-1.55424e+08
9.6,-1.97e+08
9.625,-2.49855e+08
9.65,-3.17091e+08
9.675,-4.02676e+08
9.7,-5.11683e+08
9.725,-6.50609e+08
9.75,-8.27779e+08
9.775,-1.05386e+09
9.8,-1.34253e+09
9.825,-1.71136e+09
9.85,-2.1829e+09
9.875,-2.78612e+09
9.9,-3.55827e+09
9.925,-4.5473e+09
9.95,-5.81489e+09
9.975,-7.44054e+09
10,-9.52667e+09
