E,Res
0.506,-0.0205315
0.507,-0.0238129
0.508,-0.0270552
0.509,-0.0302585
0.51,-0.0334232
0.511,-0.0365497
0.512,-0.0396383
0.513,-0.0426892
0.514,-0.0457029
0.515,-0.0486796
0.516,-0.0516196
0.517,-0.0545234
0.518,-0.057391
0.519,-0.060223
0.52,-0.0630195
0.521,-0.0657809
0.522,-0.0685076
0.523,-0.0711997
0.524,-0.0738575
0.525,-0.0764815
0.526,-0.0790718
0.527,-0.0816288
0.528,-0.0841527
0.529,-0.0866439
0.53,-0.0891026
0.531,-0.0915291
0.532,-0.0939236
0.533,-0.0962866
0.534,-0.0986181
0.535,-0.100919
0.536,-0.103188
0.537,-0.105427
0.538,-0.107636
0.539,-0.109815
0.54,-0.111964
0.541,-0.114084
0.542,-0.116174
0.543,-0.118235
0.544,-0.120268
0.545,-0.122272
0.546,-0.124248
0.547,-0.126196
0.548,-0.128117
0.549,-0.130009
0.55,-0.131875
0.551,-0.133714
0.552,-0.135526
0.553,-0.137311
0.554,-0.13907
0.555,-0.140804
0.556,-0.142511
0.557,-0.144193
0.558,-0.14585
0.559,-0.147481
0.56,-0.149088
0.561,-0.15067
0.562,-0.152227
0.563,-0.153761
0.564,-0.15527
0.565,-0.156756
0.566,-0.158218
0.567,-0.159657
0.568,-0.161073
0.569,-0.162465
0.57,-0.163836
0.571,-0.165183
0.572,-0.166509
0.573,-0.167812
0.574,-0.169094
0.575,-0.170354
0.576,-0.171592
0.577,-0.17281
0.578,-0.174006
0.579,-0.175181
0.58,-0.176336
0.581,-0.17747
0.582,-0.178584
0.583,-0.179678
0.584,-0.180752
0.585,-0.181807
0.586,-0.182842
0.587,-0.183857
0.588,-0.184854
0.589,-0.185831
0.59,-0.18679
0.591,-0.18773
0.592,-0.188652
0.593,-0.189556
0.594,-0.190441
0.595,-0.191309
0.596,-0.192159
0.597,-0.192991
0.598,-0.193806
0.599,-0.194604
0.6,-0.195385
0.601,-0.196148
0.602,-0.196896
0.603,-0.197626
0.604,-0.198341
0.605,-0.199039
0.606,-0.199721
0.607,-0.200387
0.608,-0.201038
0.609,-0.201672
0.61,-0.202292
0.611,-0.202896
0.612,-0.203485
0.613,-0.204059
0.614,-0.204619
0.615,-0.205163
0.616,-0.205694
0.617,-0.206209
0.618,-0.206711
0.619,-0.207199
0.62,-0.207672
0.621,-0.208132
0.622,-0.208578
0.623,-0.209011
0.624,-0.20943
0.625,-0.209836
0.626,-0.210229
0.627,-0.210609
0.628,-0.210976
0.629,-0.211331
0.63,-0.211673
0.631,-0.212003
0.632,-0.21232
0.633,-0.212625
0.634,-0.212918
0.635,-0.213199
0.636,-0.213469
0.637,-0.213727
0.638,-0.213973
0.639,-0.214208
0.64,-0.214431
0.641,-0.214644
0.642,-0.214845
0.643,-0.215035
0.644,-0.215215
0.645,-0.215384
0.646,-0.215542
0.647,-0.21569
0.648,-0.215828
0.649,-0.215955
0.65,-0.216073
0.651,-0.21618
0.652,-0.216278
0.653,-0.216365
0.654,-0.216443
0.655,-0.216512
0.656,-0.216571
0.657,-0.21662
0.658,-0.216661
0.659,-0.216692
0.66,-0.216714
0.661,-0.216727
0.662,-0.216732
0.663,-0.216728
0.664,-0.216715
0.665,-0.216693
0.666,-0.216664
0.667,-0.216625
0.668,-0.216579
0.669,-0.216525
0.67,-0.216462
0.671,-0.216392
0.672,-0.216313
0.673,-0.216227
0.674,-0.216134
0.675,-0.216032
0.676,-0.215924
0.677,-0.215808
0.678,-0.215684
0.679,-0.215554
0.68,-0.215416
0.681,-0.215271
0.682,-0.215119
0.683,-0.214961
0.684,-0.214795
0.685,-0.214623
0.686,-0.214445
0.687,-0.21426
0.688,-0.214068
0.689,-0.21387
0.69,-0.213666
0.691,-0.213455
0.692,-0.213239
0.693,-0.213016
0.694,-0.212788
0.695,-0.212553
0.696,-0.212313
0.697,-0.212067
0.698,-0.211815
0.699,-0.211558
0.7,-0.211296
0.701,-0.211027
0.702,-0.210754
0.703,-0.210475
0.704,-0.210191
0.705,-0.209902
0.706,-0.209608
0.707,-0.209308
0.708,-0.209004
0.709,-0.208695
0.71,-0.208381
0.711,-0.208063
0.712,-0.20774
0.713,-0.207412
0.714,-0.207079
0.715,-0.206743
0.716,-0.206401
0.717,-0.206056
0.718,-0.205706
0.719,-0.205352
0.72,-0.204994
0.721,-0.204631
0.722,-0.204265
0.723,-0.203895
0.724,-0.20352
0.725,-0.203142
0.726,-0.202761
0.727,-0.202375
0.728,-0.201986
0.729,-0.201593
0.73,-0.201196
0.731,-0.200796
0.732,-0.200393
0.733,-0.199986
0.734,-0.199576
0.735,-0.199163
0.736,-0.198746
0.737,-0.198326
0.738,-0.197903
0.739,-0.197477
0.74,-0.197048
0.741,-0.196616
0.742,-0.196181
0.743,-0.195744
0.744,-0.195303
0.745,-0.19486
0.746,-0.194413
0.747,-0.193965
0.748,-0.193513
0.749,-0.193059
0.75,-0.192603
0.751,-0.192144
0.752,-0.191683
0.753,-0.191219
0.754,-0.190753
0.755,-0.190284
0.756,-0.189813
0.757,-0.189341
0.758,-0.188865
0.759,-0.188388
0.76,-0.187909
0.761,-0.187428
0.762,-0.186944
0.763,-0.186459
0.764,-0.185972
0.765,-0.185483
0.766,-0.184992
0.767,-0.184499
0.768,-0.184005
0.769,-0.183509
0.77,-0.183011
0.771,-0.182512
0.772,-0.18201
0.773,-0.181508
0.774,-0.181004
0.775,-0.180498
0.776,-0.179991
0.777,-0.179483
0.778,-0.178973
0.779,-0.178462
0.78,-0.177949
0.781,-0.177435
0.782,-0.17692
0.783,-0.176404
0.784,-0.175887
0.785,-0.175368
0.786,-0.174849
0.787,-0.174328
0.788,-0.173806
0.789,-0.173284
0.79,-0.17276
0.791,-0.172235
0.792,-0.17171
0.793,-0.171183
0.794,-0.170656
0.795,-0.170128
0.796,-0.169599
0.797,-0.169069
0.798,-0.168539
0.799,-0.168008
0.8,-0.167476
0.801,-0.166944
0.802,-0.166411
0.803,-0.165877
0.804,-0.165343
0.805,-0.164808
0.806,-0.164273
0.807,-0.163738
0.808,-0.163202
0.809,-0.162665
0.81,-0.162128
0.811,-0.161591
0.812,-0.161053
0.813,-0.160515
0.814,-0.159977
0.815,-0.159438
0.816,-0.158899
0.817,-0.15836
0.818,-0.157821
0.819,-0.157282
0.82,-0.156742
0.821,-0.156202
0.822,-0.155662
0.823,-0.155123
0.824,-0.154583
0.825,-0.154042
0.826,-0.153502
0.827,-0.152962
0.828,-0.152422
0.829,-0.151882
0.83,-0.151342
0.831,-0.150802
0.832,-0.150263
0.833,-0.149723
0.834,-0.149183
0.835,-0.148644
0.836,-0.148105
0.837,-0.147566
0.838,-0.147027
0.839,-0.146488
0.84,-0.14595
0.841,-0.145412
0.842,-0.144874
0.843,-0.144337
0.844,-0.1438
0.845,-0.143263
0.846,-0.142726
0.847,-0.14219
0.848,-0.141655
0.849,-0.141119
0.85,-0.140584
0.851,-0.14005
0.852,-0.139516
0.853,-0.138983
0.854,-0.13845
0.855,-0.137917
0.856,-0.137385
0.857,-0.136854
0.858,-0.136323
0.859,-0.135792
0.86,-0.135263
0.861,-0.134733
0.862,-0.134205
0.863,-0.133677
0.864,-0.13315
0.865,-0.132623
0.866,-0.132097
0.867,-0.131571
0.868,-0.131047
0.869,-0.130523
0.87,-0.129999
0.871,-0.129477
0.872,-0.128955
0.873,-0.128434
0.874,-0.127914
0.875,-0.127394
0.876,-0.126875
0.877,-0.126357
0.878,-0.12584
0.879,-0.125324
0.88,-0.124808
0.881,-0.124293
0.882,-0.123779
0.883,-0.123266
0.884,-0.122754
0.885,-0.122243
0.886,-0.121732
0.887,-0.121223
0.888,-0.120714
0.889,-0.120206
0.89,-0.1197
0.891,-0.119194
0.892,-0.118689
0.893,-0.118185
0.894,-0.117682
0.895,-0.11718
0.896,-0.116679
0.897,-0.116179
0.898,-0.11568
0.899,-0.115182
0.9,-0.114685
0.901,-0.114188
0.902,-0.113693
0.903,-0.113199
0.904,-0.112706
0.905,-0.112215
0.906,-0.111724
0.907,-0.111234
0.908,-0.110745
0.909,-0.110258
0.91,-0.109771
0.911,-0.109286
0.912,-0.108801
0.913,-0.108318
0.914,-0.107836
0.915,-0.107355
0.916,-0.106875
0.917,-0.106396
0.918,-0.105918
0.919,-0.105442
0.92,-0.104966
0.921,-0.104492
0.922,-0.104019
0.923,-0.103547
0.924,-0.103076
0.925,-0.102607
0.926,-0.102138
0.927,-0.101671
0.928,-0.101205
0.929,-0.10074
0.93,-0.100277
0.931,-0.0998142
0.932,-0.0993529
0.933,-0.0988929
0.934,-0.0984341
0.935,-0.0979765
0.936,-0.0975201
0.937,-0.0970649
0.938,-0.096611
0.939,-0.0961583
0.94,-0.0957068
0.941,-0.0952566
0.942,-0.0948076
0.943,-0.0943599
0.944,-0.0939134
0.945,-0.0934682
0.946,-0.0930242
0.947,-0.0925815
0.948,-0.0921401
0.949,-0.0916999
0.95,-0.091261
0.951,-0.0908233
0.952,-0.090387
0.953,-0.0899519
0.954,-0.0895181
0.955,-0.0890855
0.956,-0.0886543
0.957,-0.0882243
0.958,-0.0877957
0.959,-0.0873683
0.96,-0.0869422
0.961,-0.0865174
0.962,-0.0860939
0.963,-0.0856718
0.964,-0.0852509
0.965,-0.0848313
0.966,-0.084413
0.967,-0.083996
0.968,-0.0835803
0.969,-0.083166
0.97,-0.0827529
0.971,-0.0823412
0.972,-0.0819308
0.973,-0.0815217
0.974,-0.0811139
0.975,-0.0807074
0.976,-0.0803022
0.977,-0.0798984
0.978,-0.0794958
0.979,-0.0790946
0.98,-0.0786947
0.981,-0.0782962
0.982,-0.0778989
0.983,-0.077503
0.984,-0.0771084
0.985,-0.0767151
0.986,-0.0763232
0.987,-0.0759325
0.988,-0.0755432
