x,psi,E
8.75012,2.52262e-17,0
8.73775,2.81287e-17,0
8.72537,3.13604e-17,0
8.713,3.4958e-17,0
8.70062,3.89625e-17,0
8.68825,4.3419e-17,0
8.67587,4.83779e-17,0
8.6635,5.3895e-17,0
8.65112,6.00321e-17,0
8.63875,6.68579e-17,0
8.62637,7.44485e-17,0
8.614,8.28882e-17,0
8.60162,9.22706e-17,0
8.58925,1.02699e-16,0
8.57687,1.1429e-16,0
8.5645,1.27168e-16,0
8.55212,1.41477e-16,0
8.53975,1.57372e-16,0
8.52737,1.75025e-16,0
8.515,1.9463e-16,0
8.50262,2.16397e-16,0
8.49025,2.40562e-16,0
8.47787,2.67386e-16,0
8.4655,2.97154e-16,0
8.45312,3.30187e-16,0
8.44075,3.66836e-16,0
8.42837,4.07491e-16,0
8.416,4.52583e-16,0
8.40362,5.02588e-16,0
8.39125,5.58033e-16,0
8.37887,6.195e-16,0
8.3665,6.87634e-16,0
8.35412,7.63144e-16,0
8.34175,8.46819e-16,0
8.32937,9.39524e-16,0
8.317,1.04222e-15,0
8.30462,1.15597e-15,0
8.29225,1.28193e-15,0
8.27987,1.4214e-15,0
8.2675,1.57581e-15,0
8.25512,1.74673e-15,0
8.24275,1.93589e-15,0
8.23037,2.14522e-15,0
8.218,2.37681e-15,0
8.20562,2.633e-15,0
8.19325,2.91637e-15,0
8.18087,3.22974e-15,0
8.1685,3.57624e-15,0
