x,psi,E
-6.89425,4.77344e-11,0.5
-6.88163,5.20712e-11,0.5
-6.869,5.6793e-11,0.5
-6.85638,6.19331e-11,0.5
-6.84375,6.75276e-11,0.5
-6.83113,7.36157e-11,0.5
-6.8185,8.024e-11,0.5
-6.80588,8.74464e-11,0.5
-6.79325,9.52848e-11,0.5
-6.78063,1.03809e-10,0.5
-6.768,1.13078e-10,0.5
-6.75538,1.23155e-10,0.5
-6.74275,1.34109e-10,0.5
-6.73013,1.46014e-10,0.5
-6.7175,1.5895e-10,0.5
-6.70488,1.73005e-10,0.5
-6.69225,1.88272e-10,0.5
-6.67963,2.04854e-10,0.5
-6.667,2.22861e-10,0.5
-6.65438,2.42412e-10,0.5
-6.64175,2.63636e-10,0.5
-6.62913,2.86673e-10,0.5
-6.6165,3.11674e-10,0.5
-6.60388,3.388e-10,0.5
-6.59125,3.68229e-10,0.5
-6.57863,4.0015e-10,0.5
-6.566,4.34769e-10,0.5
-6.55338,4.72308e-10,0.5
-6.54075,5.13006e-10,0.5
-6.52813,5.57122e-10,0.5
-6.5155,6.04936e-10,0.5
-6.50288,6.56748e-10,0.5
-6.49025,7.12885e-10,0.5
-6.47763,7.73696e-10,0.5
-6.465,8.39562e-10,0.5
-6.45238,9.10889e-10,0.5
-6.43975,9.88118e-10,0.5
-6.42713,1.07172e-09,0.5
-6.4145,1.16222e-09,0.5
-6.40188,1.26016e-09,0.5
-6.38925,1.36613e-09,0.5
-6.37663,1.48077e-09,0.5
-6.364,1.60478e-09,0.5
-6.35138,1.7389e-09,0.5
-6.33875,1.88393e-09,0.5
-6.32613,2.04073e-09,0.5
-6.3135,2.21023e-09,0.5
-6.30088,2.39342e-09,0.5
-6.28825,2.59139e-09,0.5
-6.27563,2.80528e-09,0.5
-6.263,3.03634e-09,0.5
-6.25038,3.28591e-09,0.5
-6.23775,3.55542e-09,0.5
-6.22513,3.84643e-09,0.5
-6.2125,4.1606e-09,0.5
-6.19988,4.4997e-09,0.5
-6.18725,4.86567e-09,0.5
-6.17463,5.26057e-09,0.5
-6.162,5.68661e-09,0.5
-6.14938,6.14618e-09,0.5
-6.13675,6.64182e-09,0.5
-6.12413,7.17629e-09,0.5
-6.1115,7.75254e-09,0.5
-6.09888,8.37372e-09,0.5
-6.08625,9.04323e-09,0.5
-6.07363,9.76472e-09,0.5
-6.061,1.05421e-08,0.5
-6.04838,1.13795e-08,0.5
-6.03575,1.22815e-08,0.5
-6.02313,1.32529e-08,0.5
-6.0105,1.42989e-08,0.5
-5.99788,1.54249e-08,0.5
-5.98525,1.6637e-08,0.5
-5.97263,1.79414e-08,0.5
-5.96,1.9345e-08,0.5
-5.94738,2.08552e-08,0.5
-5.93475,2.24796e-08,0.5
-5.92213,2.42267e-08,0.5
-5.9095,2.61054e-08,0.5
-5.89688,2.81253e-08,0.5
-5.88425,3.02966e-08,0.5
-5.87163,3.26305e-08,0.5
-5.859,3.51384e-08,0.5
-5.84638,3.78331e-08,0.5
-5.83375,4.0728e-08,0.5
