x,psi,E
-6.56216,4.45878e-10,6.95173e-310
-6.54966,4.8396e-10,6.95173e-310
-6.53715,5.25213e-10,6.95173e-310
-6.52465,5.69893e-10,6.95173e-310
-6.51215,6.18277e-10,6.95173e-310
-6.49965,6.70664e-10,6.95173e-310
-6.48715,7.27376e-10,6.95173e-310
-6.47465,7.88761e-10,6.95173e-310
-6.46215,8.55192e-10,6.95173e-310
-6.44965,9.27074e-10,6.95173e-310
-6.43714,1.00484e-09,6.95173e-310
-6.42464,1.08896e-09,6.95173e-310
-6.41214,1.17994e-09,6.95173e-310
-6.39964,1.27831e-09,6.95173e-310
-6.38714,1.38468e-09,6.95173e-310
-6.37464,1.49966e-09,6.95173e-310
-6.36214,1.62393e-09,6.95173e-310
-6.34964,1.75823e-09,6.95173e-310
-6.33713,1.90333e-09,6.95173e-310
-6.32463,2.06009e-09,6.95173e-310
-6.31213,2.22941e-09,6.95173e-310
-6.29963,2.41227e-09,6.95173e-310
-6.28713,2.60972e-09,6.95173e-310
-6.27463,2.82289e-09,6.95173e-310
-6.26213,3.053e-09,6.95173e-310
-6.24963,3.30135e-09,6.95173e-310
-6.23712,3.56934e-09,6.95173e-310
-6.22462,3.85849e-09,6.95173e-310
-6.21212,4.1704e-09,6.95173e-310
-6.19962,4.50683e-09,6.95173e-310
-6.18712,4.86963e-09,6.95173e-310
-6.17462,5.26082e-09,6.95173e-310
-6.16212,5.68255e-09,6.95173e-310
-6.14962,6.13712e-09,6.95173e-310
-6.13711,6.62702e-09,6.95173e-310
-6.12461,7.15491e-09,6.95173e-310
-6.11211,7.72364e-09,6.95173e-310
-6.09961,8.33627e-09,6.95173e-310
-6.08711,8.9961e-09,6.95173e-310
-6.07461,9.70663e-09,6.95173e-310
-6.06211,1.04716e-08,6.95173e-310
-6.04961,1.12952e-08,6.95173e-310
-6.0371,1.21816e-08,6.95173e-310
-6.0246,1.31355e-08,6.95173e-310
-6.0121,1.41619e-08,6.95173e-310
-5.9996,1.52661e-08,6.95173e-310
-5.9871,1.64539e-08,6.95173e-310
-5.9746,1.77313e-08,6.95173e-310
-5.9621,1.91048e-08,6.95173e-310
-5.9496,2.05816e-08,6.95173e-310
-5.93709,2.2169e-08,6.95173e-310
-5.92459,2.38752e-08,6.95173e-310
-5.91209,2.57086e-08,6.95173e-310
-5.89959,2.76785e-08,6.95173e-310
-5.88709,2.97947e-08,6.95173e-310
-5.87459,3.20677e-08,6.95173e-310
-5.86209,3.45086e-08,6.95173e-310
-5.84959,3.71296e-08,6.95173e-310
-5.83708,3.99434e-08,6.95173e-310
-5.82458,4.29637e-08,6.95173e-310
-5.81208,4.62052e-08,6.95173e-310
-5.79958,4.96835e-08,6.95173e-310
-5.78708,5.34153e-08,6.95173e-310
-5.77458,5.74184e-08,6.95173e-310
-5.76208,6.17118e-08,6.95173e-310
-5.74958,6.6316e-08,6.95173e-310
-5.73707,7.12525e-08,6.95173e-310
-5.72457,7.65445e-08,6.95173e-310
-5.71207,8.22167e-08,6.95173e-310
-5.69957,8.82954e-08,6.95173e-310
-5.68707,9.48087e-08,6.95173e-310
