x,y,M,S
0.046875,0.6875,1.16749,0
0.046875,0.703125,1.1992,0
0.046875,0.71875,1.23137,0
0.046875,0.734375,1.26404,0
0.046875,0.75,1.29723,0
0.046875,0.765625,1.33099,0
0.046875,0.78125,1.36536,0
0.046875,0.796875,1.40038,0
0.046875,0.8125,1.43611,0
0.046875,0.828125,1.4726,0
0.046875,0.84375,1.50992,0
0.046875,0.859375,1.54815,0
0.046875,0.875,1.58739,0
0.046875,0.890625,1.62773,0
0.046875,0.90625,1.66932,0
0.046875,0.921875,1.7123,0
0.046875,0.9375,1.75685,0
0.046875,0.953125,1.80316,0
0.046875,0.96875,1.85138,0
0.046875,0.984375,1.90153,0
0.046875,1,1.95312,0
0.0625,0,0,0
0.0625,0.015625,0.0244684,0
0.0625,0.03125,0.0489421,0
0.0625,0.046875,0.0734264,0
0.0625,0.0625,0.0979266,0
0.0625,0.078125,0.122448,0
0.0625,0.09375,0.146996,0
0.0625,0.109375,0.171577,0
0.0625,0.125,0.196194,0
0.0625,0.140625,0.220855,0
0.0625,0.15625,0.245565,0
0.0625,0.171875,0.270329,0
0.0625,0.1875,0.295153,0
0.0625,0.203125,0.320044,0
0.0625,0.21875,0.345006,0
0.0625,0.234375,0.370047,0
0.0625,0.25,0.395172,0
0.0625,0.265625,0.420388,0
0.0625,0.28125,0.445702,0
0.0625,0.296875,0.471119,0
0.0625,0.3125,0.496648,0
0.0625,0.328125,0.522295,0
0.0625,0.34375,0.548068,0
0.0625,0.359375,0.573974,0
0.0625,0.375,0.60002,0
0.0625,0.390625,0.626216,0
0.0625,0.40625,0.65257,0
0.0625,0.421875,0.67909,0
0.0625,0.4375,0.705785,0
0.0625,0.453125,0.732665,0
0.0625,0.46875,0.75974,0
0.0625,0.484375,0.787021,0
0.0625,0.5,0.814517,0
0.0625,0.515625,0.84224,0
0.0625,0.53125,0.870203,0
0.0625,0.546875,0.898418,0
0.0625,0.5625,0.926898,0
0.0625,0.578125,0.955657,0
0.0625,0.59375,0.98471,0
0.0625,0.609375,1.01407,0
0.0625,0.625,1.04376,0
0.0625,0.640625,1.0738,0
0.0625,0.65625,1.10419,0
0.0625,0.671875,1.13498,0
0.0625,0.6875,1.16617,0
0.0625,0.703125,1.19779,0
0.0625,0.71875,1.22987,0
0.0625,0.734375,1.26243,0
0.0625,0.75,1.29551,0
0.0625,0.765625,1.32915,0
0.0625,0.78125,1.36337,0
0.0625,0.796875,1.39823,0
0.0625,0.8125,1.43376,0
0.0625,0.828125,1.47003,0
0.0625,0.84375,1.50709,0
0.0625,0.859375,1.54501,0
0.0625,0.875,1.58387,0
0.0625,0.890625,1.62375,0
0.0625,0.90625,1.66474,0
0.0625,0.921875,1.70694,0
0.0625,0.9375,1.75046,0
0.0625,0.953125,1.79537,0
0.0625,0.96875,1.84166,0
0.0625,0.984375,1.88918,0
0.0625,1,1.9375,0
0.078125,0,0,0
0.078125,0.015625,0.0244471,0
0.078125,0.03125,0.0488995,0
0.078125,0.046875,0.0733625,0
0.078125,0.0625,0.0978412,0
0.078125,0.078125,0.122341,0
0.078125,0.09375,0.146868,0
0.078125,0.109375,0.171426,0
0.078125,0.125,0.196021,0
0.078125,0.140625,0.22066,0
0.078125,0.15625,0.245347,0
0.078125,0.171875,0.270087,0
0.078125,0.1875,0.294888,0
0.078125,0.203125,0.319754,0
0.078125,0.21875,0.344692,0
0.078125,0.234375,0.369708,0
0.078125,0.25,0.394807,0
0.078125,0.265625,0.419997,0
0.078125,0.28125,0.445283,0
0.078125,0.296875,0.470673,0
0.078125,0.3125,0.496173,0
0.078125,0.328125,0.52179,0
0.078125,0.34375,0.547532,0
0.078125,0.359375,0.573407,0
0.078125,0.375,0.599421,0
0.078125,0.390625,0.625582,0
0.078125,0.40625,0.651901,0
0.078125,0.421875,0.678384,0
0.078125,0.4375,0.705041,0
0.078125,0.453125,0.731881,0
0.078125,0.46875,0.758914,0
0.078125,0.484375,0.78615,0
0.078125,0.5,0.8136,0
0.078125,0.515625,0.841275,0
0.078125,0.53125,0.869187,0
0.078125,0.546875,0.897347,0
0.078125,0.5625,0.925769,0
0.078125,0.578125,0.954467,0
0.078125,0.59375,0.983456,0
0.078125,0.609375,1.01275,0
0.078125,0.625,1.04236,0
0.078125,0.640625,1.07232,0
0.078125,0.65625,1.10263,0
0.078125,0.671875,1.13332,0
0.078125,0.6875,1.16441,0
0.078125,0.703125,1.19592,0
0.078125,0.71875,1.22788,0
0.078125,0.734375,1.26031,0
0.078125,0.75,1.29324,0
0.078125,0.765625,1.32671,0
0.078125,0.78125,1.36075,0
0.078125,0.796875,1.39539,0
0.078125,0.8125,1.43068,0
0.078125,0.828125,1.46667,0
0.078125,0.84375,1.50341,0
0.078125,0.859375,1.54094,0
0.078125,0.875,1.57933,0
0.078125,0.890625,1.61865,0
0.078125,0.90625,1.65894,0
0.078125,0.921875,1.70028,0
0.078125,0.9375,1.74269,0
0.078125,0.953125,1.78619,0
0.078125,0.96875,1.8307,0
0.078125,0.984375,1.87605,0
0.078125,1,1.92188,0
0.09375,0,0,0
0.09375,0.015625,0.0244206,0
0.09375,0.03125,0.0488465,0
0.09375,0.046875,0.0732828,0
0.09375,0.0625,0.0977348,0
0.09375,0.078125,0.122208,0
0.09375,0.09375,0.146707,0
0.09375,0.109375,0.171238,0
0.09375,0.125,0.195806,0
0.09375,0.140625,0.220416,0
0.09375,0.15625,0.245074,0
0.09375,0.171875,0.269786,0
0.09375,0.1875,0.294557,0
0.09375,0.203125,0.319394,0
0.09375,0.21875,0.344301,0
0.09375,0.234375,0.369285,0
0.09375,0.25,0.394352,0
0.09375,0.265625,0.419509,0
0.09375,0.28125,0.444762,0
0.09375,0.296875,0.470117,0
0.09375,0.3125,0.495581,0
0.09375,0.328125,0.521161,0
0.09375,0.34375,0.546865,0
0.09375,0.359375,0.5727,0
0.09375,0.375,0.598673,0
0.09375,0.390625,0.624793,0
0.09375,0.40625,0.651067,0
0.09375,0.421875,0.677504,0
0.09375,0.4375,0.704113,0
0.09375,0.453125,0.730904,0
0.09375,0.46875,0.757884,0
0.09375,0.484375,0.785066,0
0.09375,0.5,0.812459,0
0.09375,0.515625,0.840073,0
0.09375,0.53125,0.867921,0
0.09375,0.546875,0.896015,0
0.09375,0.5625,0.924366,0
0.09375,0.578125,0.952989,0
0.09375,0.59375,0.981897,0
0.09375,0.609375,1.0111,0
0.09375,0.625,1.04063,0
0.09375,0.640625,1.07048,0
0.09375,0.65625,1.10069,0
0.09375,0.671875,1.13127,0
0.09375,0.6875,1.16223,0
0.09375,0.703125,1.19361,0
0.09375,0.71875,1.22541,0
0.09375,0.734375,1.25768,0
0.09375,0.75,1.29043,0
0.09375,0.765625,1.3237,0
0.09375,0.78125,1.35751,0
0.09375,0.796875,1.3919,0
0.09375,0.8125,1.42691,0
0.09375,0.828125,1.46257,0
0.09375,0.84375,1.49892,0
0.09375,0.859375,1.53601,0
0.09375,0.875,1.57387,0
0.09375,0.890625,1.61256,0
0.09375,0.90625,1.65211,0
0.09375,0.921875,1.69253,0
0.09375,0.9375,1.73384,0
0.09375,0.953125,1.776,0
0.09375,0.96875,1.81892,0
0.09375,0.984375,1.86242,0
0.09375,1,1.90625,0
0.109375,0,0,0
0.109375,0.015625,0.0243889,0
0.109375,0.03125,0.048783,0
0.109375,0.046875,0.0731875,0
0.109375,0.0625,0.0976075,0
0.109375,0.078125,0.122048,0
0.109375,0.09375,0.146515,0
0.109375,0.109375,0.171013,0
0.109375,0.125,0.195548,0
0.109375,0.140625,0.220124,0
0.109375,0.15625,0.244749,0
0.109375,0.171875,0.269426,0
0.109375,0.1875,0.294162,0
0.109375,0.203125,0.318962,0
0.109375,0.21875,0.343833,0
0.109375,0.234375,0.368779,0
0.109375,0.25,0.393808,0
0.109375,0.265625,0.418926,0
0.109375,0.28125,0.444138,0
0.109375,0.296875,0.469451,0
0.109375,0.3125,0.494873,0
0.109375,0.328125,0.520409,0
0.109375,0.34375,0.546068,0
0.109375,0.359375,0.571855,0
0.109375,0.375,0.59778,0
0.109375,0.390625,0.623849,0
0.109375,0.40625,0.65007,0
0.109375,0.421875,0.676453,0
0.109375,0.4375,0.703005,0
0.109375,0.453125,0.729736,0
0.109375,0.46875,0.756655,0
0.109375,0.484375,0.783771,0
0.109375,0.5,0.811096,0
0.109375,0.515625,0.838639,0
0.109375,0.53125,0.866411,0
0.109375,0.546875,0.894425,0
0.109375,0.5625,0.922692,0
0.109375,0.578125,0.951225,0
0.109375,0.59375,0.980038,0
0.109375,0.609375,1.00914,0
0.109375,0.625,1.03856,0
0.109375,0.640625,1.0683,0
0.109375,0.65625,1.09838,0
0.109375,0.671875,1.12882,0
0.109375,0.6875,1.15964,0
0.109375,0.703125,1.19086,0
0.109375,0.71875,1.22249,0
0.109375,0.734375,1.25457,0
0.109375,0.75,1.28711,0
0.109375,0.765625,1.32015,0
0.109375,0.78125,1.3537,0
0.109375,0.796875,1.3878,0
0.109375,0.8125,1.42248,0
0.109375,0.828125,1.45777,0
0.109375,0.84375,1.4937,0
0.109375,0.859375,1.5303,0
0.109375,0.875,1.5676,0
0.109375,0.890625,1.60562,0
0.109375,0.90625,1.64439,0
0.109375,0.921875,1.6839,0
0.109375,0.9375,1.72414,0
0.109375,0.953125,1.76505,0
0.109375,0.96875,1.80654,0
0.109375,0.984375,1.84847,0
0.109375,1,1.89062,0
0.125,0,0,0
0.125,0.015625,0.0243521,0
0.125,0.03125,0.0487093,0
0.125,0.046875,0.0730767,0
0.125,0.0625,0.0974594,0
0.125,0.078125,0.121863,0
0.125,0.09375,0.146292,0
0.125,0.109375,0.170752,0
0.125,0.125,0.195248,0
0.125,0.140625,0.219785,0
0.125,0.15625,0.24437,0
0.125,0.171875,0.269007,0
0.125,0.1875,0.293702,0
0.125,0.203125,0.31846,0
0.125,0.21875,0.343288,0
0.125,0.234375,0.368192,0
0.125,0.25,0.393176,0
0.125,0.265625,0.418248,0
0.125,0.28125,0.443413,0
0.125,0.296875,0.468678,0
0.125,0.3125,0.49405,0
0.125,0.328125,0.519535,0
0.125,0.34375,0.545141,0
0.125,0.359375,0.570874,0
0.125,0.375,0.596742,0
0.125,0.390625,0.622752,0
0.125,0.40625,0.648913,0
0.125,0.421875,0.675232,0
0.125,0.4375,0.701719,0
0.125,0.453125,0.728381,0
0.125,0.46875,0.755228,0
0.125,0.484375,0.782269,0
0.125,0.5,0.809515,0
0.125,0.515625,0.836975,0
0.125,0.53125,0.86466,0
0.125,0.546875,0.892582,0
0.125,0.5625,0.920751,0
0.125,0.578125,0.949182,0
0.125,0.59375,0.977885,0
0.125,0.609375,1.00688,0
0.125,0.625,1.03617,0
0.125,0.640625,1.06577,0
0.125,0.65625,1.09571,0
0.125,0.671875,1.126,0
0.125,0.6875,1.15665,0
0.125,0.703125,1.18769,0
0.125,0.71875,1.21913,0
0.125,0.734375,1.25099,0
0.125,0.75,1.2833,0
0.125,0.765625,1.31608,0
0.125,0.78125,1.34935,0
0.125,0.796875,1.38313,0
0.125,0.8125,1.41745,0
0.125,0.828125,1.45233,0
0.125,0.84375,1.4878,0
0.125,0.859375,1.52389,0
0.125,0.875,1.56059,0
0.125,0.890625,1.59794,0
0.125,0.90625,1.63593,0
0.125,0.921875,1.67455,0
0.125,0.9375,1.71376,0
0.125,0.953125,1.75352,0
0.125,0.96875,1.79374,0
0.125,0.984375,1.83428,0
0.125,1,1.875,0
0.140625,0,0,0
0.140625,0.015625,0.0243101,0
0.140625,0.03125,0.0486253,0
0.140625,0.046875,0.0729506,0
0.140625,0.0625,0.097291,0
0.140625,0.078125,0.121652,0
0.140625,0.09375,0.146038,0
0.140625,0.109375,0.170454,0
0.140625,0.125,0.194906,0
0.140625,0.140625,0.2194,0
0.140625,0.15625,0.243939,0
0.140625,0.171875,0.26853,0
0.140625,0.1875,0.293179,0
0.140625,0.203125,0.31789,0
0.140625,0.21875,0.342669,0
0.140625,0.234375,0.367523,0
0.140625,0.25,0.392457,0
0.140625,0.265625,0.417476,0
0.140625,0.28125,0.442588,0
0.140625,0.296875,0.467799,0
0.140625,0.3125,0.493114,0
0.140625,0.328125,0.518541,0
0.140625,0.34375,0.544087,0
0.140625,0.359375,0.569758,0
0.140625,0.375,0.595562,0
0.140625,0.390625,0.621506,0
0.140625,0.40625,0.647598,0
0.140625,0.421875,0.673845,0
0.140625,0.4375,0.700257,0
0.140625,0.453125,0.726841,0
0.140625,0.46875,0.753607,0
0.140625,0.484375,0.780563,0
0.140625,0.5,0.807719,0
0.140625,0.515625,0.835086,0
0.140625,0.53125,0.862673,0
0.140625,0.546875,0.890491,0
0.140625,0.5625,0.918551,0
0.140625,0.578125,0.946866,0
0.140625,0.59375,0.975446,0
0.140625,0.609375,1.00431,0
0.140625,0.625,1.03346,0
