t,f,df,ddf
3.63,83.9369,33.0692,-1.72
3.64,84.2675,33.0511,-1.78
3.65,84.5979,33.0324,-1.84
3.66,84.9281,33.0131,-1.9
3.67,85.2581,32.9932,-1.96
3.68,85.588,32.9727,-2.02
3.69,85.9176,32.9516,-2.08
3.7,86.247,32.9299,-2.14
3.71,86.5762,32.9076,-2.2
3.72,86.9052,32.8847,-2.26
3.73,87.2339,32.8612,-2.32
3.74,87.5624,32.8371,-2.38
3.75,87.8906,32.8124,-2.44
3.76,88.2186,32.7871,-2.5
3.77,88.5464,32.7612,-2.56
3.78,88.8738,32.7347,-2.62
3.79,89.2011,32.7076,-2.68
3.8,89.528,32.6799,-2.74
3.81,89.8547,32.6516,-2.8
3.82,90.181,32.6227,-2.86
3.83,90.5071,32.5932,-2.92
3.84,90.8329,32.5631,-2.98
3.85,91.1584,32.5324,-3.04
3.86,91.4835,32.5011,-3.1
3.87,91.8084,32.4692,-3.16
3.88,92.1329,32.4367,-3.22
3.89,92.4571,32.4036,-3.28
3.9,92.781,32.3699,-3.34
3.91,93.1045,32.3356,-3.4
3.92,93.4277,32.3007,-3.46
3.93,93.7505,32.2652,-3.52
3.94,94.073,32.2291,-3.58
3.95,94.3951,32.1924,-3.64
3.96,94.7169,32.1551,-3.7
3.97,95.0382,32.1172,-3.76
3.98,95.3592,32.0787,-3.82
3.99,95.6798,32.0396,-3.88
4,96,31.9999,-3.94
4.01,96.3198,31.9596,-4
4.02,96.6392,31.9187,-4.06
4.03,96.9582,31.8772,-4.12
4.04,97.2767,31.8351,-4.18
4.05,97.5949,31.7924,-4.24
4.06,97.9126,31.7491,-4.3
4.07,98.2299,31.7052,-4.36
4.08,98.5467,31.6607,-4.42
4.09,98.8631,31.6156,-4.48
4.1,99.179,31.5699,-4.54
4.11,99.4945,31.5236,-4.6
4.12,99.8095,31.4767,-4.66
4.13,100.124,31.4292,-4.72
4.14,100.438,31.3811,-4.78
4.15,100.752,31.3324,-4.84
4.16,101.065,31.2831,-4.9
4.17,101.377,31.2332,-4.96
4.18,101.689,31.1827,-5.02
4.19,102.001,31.1316,-5.08
4.2,102.312,31.0799,-5.14
4.21,102.623,31.0276,-5.2
4.22,102.933,30.9747,-5.26
4.23,103.242,30.9212,-5.32
4.24,103.551,30.8671,-5.38
4.25,103.859,30.8124,-5.44
4.26,104.167,30.7571,-5.5
4.27,104.475,30.7012,-5.56
4.28,104.781,30.6447,-5.62
4.29,105.087,30.5876,-5.68
4.3,105.393,30.5299,-5.74
4.31,105.698,30.4716,-5.8
4.32,106.002,30.4127,-5.86
4.33,106.306,30.3532,-5.92
4.34,106.609,30.2931,-5.98
4.35,106.912,30.2324,-6.04
4.36,107.214,30.1711,-6.1
4.37,107.516,30.1092,-6.16
4.38,107.816,30.0467,-6.22
4.39,108.116,29.9836,-6.28
4.4,108.416,29.9199,-6.34
4.41,108.715,29.8556,-6.4
4.42,109.013,29.7907,-6.46
4.43,109.311,29.7252,-6.52
4.44,109.608,29.6591,-6.58
4.45,109.904,29.5924,-6.64
4.46,110.199,29.5251,-6.7
4.47,110.494,29.4572,-6.76
4.48,110.789,29.3887,-6.82
4.49,111.082,29.3196,-6.88
4.5,111.375,29.2499,-6.94
4.51,111.667,29.1796,-7
4.52,111.959,29.1087,-7.06
4.53,112.249,29.0372,-7.12
4.54,112.539,28.9651,-7.18
4.55,112.829,28.8924,-7.24
4.56,113.117,28.8191,-7.3
4.57,113.405,28.7452,-7.36
4.58,113.692,28.6707,-7.42
4.59,113.978,28.5956,-7.48
4.6,114.264,28.5199,-7.54
4.61,114.549,28.4436,-7.6
4.62,114.833,28.3667,-7.66
4.63,115.116,28.2892,-7.72
