t,th1RK,th2RK,w1RK,w2RK,th1PV,th2PV,w1PV,w2PV
10.5,0.0287626,-0.708794,0.810121,0.592224,0.0568355,-0.684888,0.759321,0.859338
10.6,0.104333,-0.615896,0.689065,1.2538,0.125356,-0.566843,0.611083,1.50157
10.7,0.164426,-0.461478,0.504151,1.81207,0.176346,-0.391039,0.408713,2.01451
10.8,0.203835,-0.259084,0.279759,2.20311,0.20571,-0.173635,0.178568,2.33357
10.9,0.219972,-0.0282917,0.0432588,2.373,0.21205,0.0635916,-0.0517591,2.41096
11,0.212964,0.207169,-0.179125,2.29515,0.196586,0.295815,-0.257521,2.2335
11.1,0.185361,0.422771,-0.365499,1.98071,0.162737,0.498891,-0.419456,1.82803
11.2,0.141613,0.596827,-0.499883,1.47329,0.11553,0.65276,-0.524695,1.24934
11.3,0.0874574,0.71297,-0.572606,0.832768,0.0609571,0.743293,-0.566759,0.561334
11.4,0.029276,0.760983,-0.580391,0.120536,0.00534114,0.76261,-0.54556,-0.174994
11.5,-0.0265474,0.736606,-0.526555,-0.605603,-0.0453145,0.708747,-0.467552,-0.902275
11.6,-0.0742945,0.641313,-0.421028,-1.28791,-0.0859679,0.585598,-0.345517,-1.56071
11.7,-0.109544,0.48257,-0.2796,-1.86381,-0.113113,0.403354,-0.197389,-2.08416
11.8,-0.12967,0.274313,-0.122001,-2.26767,-0.125172,0.178828,-0.0437796,-2.40636
11.9,-0.134094,0.0367004,0.0311909,-2.44359,-0.122584,-0.0654161,0.0955362,-2.47851
12,-0.124188,-0.205794,0.162039,-2.36396,-0.107554,-0.303762,0.205066,-2.28841
12.1,-0.102868,-0.427888,0.257869,-2.04078,-0.0835228,-0.511468,0.275554,-1.86571
12.2,-0.0740146,-0.607314,0.312132,-1.52011,-0.0545481,-0.668185,0.303939,-1.26862
12.3,-0.0418759,-0.727395,0.323794,-0.864596,-0.0247415,-0.759796,0.292195,-0.563606
12.4,-0.0105727,-0.777844,0.29632,-0.137562,0.00217927,-0.778624,0.24622,0.187046
12.5,0.0163136,-0.754474,0.236939,0.602301,0.0232508,-0.722994,0.175212,0.925554
12.6,0.0360943,-0.658878,0.15619,1.29706,0.0365708,-0.59712,0.0911865,1.59192
12.7,0.0472727,-0.498658,0.067206,1.88393,0.0415312,-0.411542,0.00802258,2.11963
12.8,0.0497378,-0.287924,-0.0157648,2.29667,0.0389084,-0.183468,-0.0604789,2.44186
12.9,0.0447596,-0.047094,-0.0798094,2.47835,0.0307137,0.0641124,-0.103415,2.50975
13,0.0347143,0.199004,-0.116125,2.40061,0.0197724,0.3052,-0.11541,2.31201
13.1,0.0225701,0.424699,-0.121828,2.07562,0.00912325,0.514808,-0.0975727,1.88013
13.2,0.0112838,0.607407,-0.0998516,1.55061,0.0014286,0.672528,-0.0563203,1.27426
13.3,0.00329439,0.730272,-0.0572887,0.889757,-0.00144387,0.764359,-0.00112909,0.562355
13.4,0.000208002,0.782978,-0.00341395,0.157649,0.00137112,0.782847,0.0574288,-0.192584
13.5,0.00265551,0.761397,0.051713,-0.586461,0.00968291,0.726588,0.108807,-0.932593
13.6,0.0102557,0.667206,0.0980059,-1.28471,0.0222772,0.600065,0.143078,-1.59787
13.7,0.0216417,0.508062,0.125969,-1.87477,0.0370134,0.414053,0.151648,-2.12237
13.8,0.0345687,0.298078,0.127767,-2.29089,0.0510278,0.185931,0.128639,-2.44008
13.9,0.046162,0.0576416,0.0989751,-2.47631,0.0611035,-0.0612327,0.0728761,-2.5032
14,0.0533572,-0.188449,0.0404705,-2.40252,0.0642207,-0.301472,-0.0105334,-2.30159
14.1,0.0534846,-0.41453,-0.0407507,-2.08138,0.0581754,-0.509932,-0.110372,-1.86761
14.2,0.0448411,-0.598,-0.132687,-1.56009,0.0420792,-0.666412,-0.211552,-1.26198
14.3,0.0270682,-0.722005,-0.220921,-0.903122,0.0165886,-0.75716,-0.298259,-0.552969
14.4,0.00125283,-0.776266,-0.291366,-0.175524,-0.0161529,-0.774995,-0.35657,0.196255
14.5,-0.0302116,-0.756735,-0.332209,0.563196,-0.0527799,-0.718794,-0.375971,0.927766
14.6,-0.0639076,-0.665168,-0.334895,1.25547,-0.089078,-0.593292,-0.349992,1.58229
14.7,-0.0957463,-0.509234,-0.294612,1.83999,-0.120407,-0.409422,-0.276579,2.0951
14.8,-0.121365,-0.30293,-0.210831,2.25255,-0.142171,-0.184548,-0.158714,2.40237
14.9,-0.1366,-0.0663625,-0.0881932,2.43793,-0.150374,0.0585033,-0.00534843,2.45866
15,-0.138047,0.176063,0.0626471,2.36827,-0.142234,0.294205,0.168164,2.25538
15.1,-0.123668,0.399087,0.225215,2.05504,-0.116762,0.498231,0.341262,1.82513
15.2,-0.0932861,0.580435,0.37919,1.54435,-0.0751369,0.65088,0.491243,1.22787
15.3,-0.0488149,0.703474,0.503728,0.899789,-0.0207191,0.738827,0.597114,0.531058
15.4,0.00586929,0.75808,0.580892,0.185981,0.0412793,0.75525,0.642854,-0.202591
15.5,0.0653504,0.740338,0.598134,-0.537706,0.104389,0.699347,0.619342,-0.915467
15.6,0.123283,0.652105,0.549519,-1.21424,0.161603,0.576115,0.524944,-1.54918
15.7,0.173069,0.501056,0.435937,-1.78385,0.206113,0.396597,0.365251,-2.04118
15.8,0.208534,0.300983,0.264865,-2.18488,0.232007,0.177983,0.152627,-2.3311
15.9,0.224569,0.0715093,0.0501692,-2.36495,0.234936,-0.0574309,-0.0940542,-2.37718
16,0.217765,-0.163681,-0.188121,-2.29791,0.212734,-0.284941,-0.349981,-2.17302
16.1,0.186988,-0.380126,-0.424838,-1.99497,0.16592,-0.481142,-0.586299,-1.75099
16.2,0.133775,-0.556236,-0.632231,-1.50045,0.0979184,-0.627153,-0.773732,-1.16925
